epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,571.9574344754219,0.5358476932367608,0.15939784515800262,0.0,1.2297359145439274e-05,1727749384,,False,1,b5d3da1a,2024-10-01_02-23-04,1.9541821479797363,1.9541821479797363,24412,53f2743d91cf,172.17.0.2,1.9541821479797363,1
1,527.229887843132,0.6138649820920579,0.19443446305463666,0.0,1.2297359145439274e-05,1727749385,,False,2,b5d3da1a,2024-10-01_02-23-05,0.9125218391418457,2.866703987121582,24412,53f2743d91cf,172.17.0.2,2.866703987121582,2
2,458.892180532217,0.6633197678614157,0.21415723780896456,0.0,5.05191417444464e-06,1727749386,,False,3,b5d3da1a,2024-10-01_02-23-06,0.9026563167572021,3.769360303878784,24412,53f2743d91cf,172.17.0.2,3.769360303878784,3
3,410.6724870502949,0.6826586362617788,0.222576701990515,0.0,5.05191417444464e-06,1727749387,,False,4,b5d3da1a,2024-10-01_02-23-07,1.0361809730529785,4.805541276931763,24412,53f2743d91cf,172.17.0.2,4.805541276931763,4
4,385.88026501238346,0.6993412232093007,0.22924693031015292,0.0,5.05191417444464e-06,1727749388,,False,5,b5d3da1a,2024-10-01_02-23-08,1.0321593284606934,5.837700605392456,24412,53f2743d91cf,172.17.0.2,5.837700605392456,5
5,367.30380895733833,0.7149722170526148,0.2362778095902813,0.0,2.07539167752289e-06,1727749389,,False,6,b5d3da1a,2024-10-01_02-23-09,1.0480942726135254,6.8857948780059814,24412,53f2743d91cf,172.17.0.2,6.8857948780059814,6
6,359.3251425474882,0.7208535422783156,0.23910304283001554,0.0,2.07539167752289e-06,1727749392,,False,7,b5d3da1a,2024-10-01_02-23-12,1.0977201461791992,7.983515024185181,24412,53f2743d91cf,172.17.0.2,7.983515024185181,7
7,350.96243055164814,0.72615376142747,0.24182591562982775,0.0,2.07539167752289e-06,1727749393,,False,8,b5d3da1a,2024-10-01_02-23-13,1.0421991348266602,9.02571415901184,24412,53f2743d91cf,172.17.0.2,9.02571415901184,8
8,347.1389433592558,0.7314141007478417,0.24460252817418388,0.0,8.525977414501055e-07,1727749394,,False,9,b5d3da1a,2024-10-01_02-23-14,0.939138650894165,9.964852809906006,24412,53f2743d91cf,172.17.0.2,9.964852809906006,9
9,344.09831327199936,0.7334645886110805,0.24567141046756852,0.0,8.525977414501055e-07,1727749395,,False,10,b5d3da1a,2024-10-01_02-23-15,1.197890281677246,11.162743091583252,24412,53f2743d91cf,172.17.0.2,11.162743091583252,10
10,344.2018906325102,0.7354628528890087,0.24681681508367287,0.0,8.525977414501055e-07,1727749396,,False,11,b5d3da1a,2024-10-01_02-23-16,0.9481379985809326,12.110881090164185,24412,53f2743d91cf,172.17.0.2,12.110881090164185,11
11,341.57501251995564,0.7374093683414928,0.24927678565306108,0.0,3.5025817853979697e-07,1727749397,,False,12,b5d3da1a,2024-10-01_02-23-17,1.0410280227661133,13.151909112930298,24412,53f2743d91cf,172.17.0.2,13.151909112930298,12
12,341.1737752854824,0.7382074396770113,0.24975645210182149,0.0,3.5025817853979697e-07,1727749398,,False,13,b5d3da1a,2024-10-01_02-23-19,1.0189428329467773,14.170851945877075,24412,53f2743d91cf,172.17.0.2,14.170851945877075,13
13,341.0912296772003,0.7390017129335981,0.2501984236185652,0.0,3.5025817853979697e-07,1727749399,,False,14,b5d3da1a,2024-10-01_02-23-19,0.9401390552520752,15.11099100112915,24412,53f2743d91cf,172.17.0.2,15.11099100112915,14
14,338.0277314633131,0.7397708239172627,0.25049784078198356,0.0,1.4389058951218864e-07,1727749401,,False,15,b5d3da1a,2024-10-01_02-23-21,1.0660455226898193,16.17703652381897,24412,53f2743d91cf,172.17.0.2,16.17703652381897,15
15,340.39016307890415,0.7400870139883247,0.2506695111957693,0.0,1.4389058951218864e-07,1727749402,,True,16,b5d3da1a,2024-10-01_02-23-22,0.984320878982544,17.161357402801514,24412,53f2743d91cf,172.17.0.2,17.161357402801514,16
