epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,75.48909697681665,0.834210380783841,0.3406028460758279,0.0,0.0015282346742249064,1727748263,,False,1,b62a8e58,2024-10-01_02-04-23,1.0453472137451172,1.0453472137451172,13875,53f2743d91cf,172.17.0.2,1.0453472137451172,1
1,61.21476285904646,0.8385044012875864,0.35152861300498534,0.0049261083743842365,0.0015282346742249064,1727748263,,False,2,b62a8e58,2024-10-01_02-04-23,0.3165438175201416,1.3618910312652588,13875,53f2743d91cf,172.17.0.2,1.3618910312652588,2
2,59.91635251045227,0.8408604631649605,0.3586603790314324,0.03248259860788863,0.0015282346742249064,1727748264,,False,3,b62a8e58,2024-10-01_02-04-24,0.2718198299407959,1.6337108612060547,13875,53f2743d91cf,172.17.0.2,1.6337108612060547,3
3,59.48485352098942,0.8405315107781964,0.35622014609928443,0.009456264775413711,0.0015282346742249064,1727748264,,False,4,b62a8e58,2024-10-01_02-04-24,0.2674248218536377,1.9011356830596924,13875,53f2743d91cf,172.17.0.2,1.9011356830596924,4
4,59.03041382133961,0.8394025843262292,0.3520394592296724,0.0449438202247191,0.0003197938428055419,1727748264,,False,5,b62a8e58,2024-10-01_02-04-24,0.3120114803314209,2.2131471633911133,13875,53f2743d91cf,172.17.0.2,2.2131471633911133,5
5,57.751723155379295,0.8401186516956781,0.3546701485145228,0.05803571428571429,0.0003197938428055419,1727748265,,False,6,b62a8e58,2024-10-01_02-04-25,0.31546521186828613,2.5286123752593994,13875,53f2743d91cf,172.17.0.2,2.5286123752593994,6
6,57.596061043441296,0.8401567911028391,0.35626424700947834,0.0625,0.0003197938428055419,1727748265,,False,7,b62a8e58,2024-10-01_02-04-25,0.42505455017089844,2.953666925430298,13875,53f2743d91cf,172.17.0.2,2.953666925430298,7
7,57.4391533434391,0.840372278753299,0.3563039719243105,0.0787746170678337,0.0003197938428055419,1727748265,,False,8,b62a8e58,2024-10-01_02-04-25,0.4280507564544678,3.3817176818847656,13875,53f2743d91cf,172.17.0.2,3.3817176818847656,8
8,57.23841346055269,0.840441883171368,0.35690837333885234,0.08296943231441048,0.0003197938428055419,1727748266,,False,9,b62a8e58,2024-10-01_02-04-26,0.31882357597351074,3.7005412578582764,13875,53f2743d91cf,172.17.0.2,3.7005412578582764,9
9,57.076440803706646,0.8404876504599612,0.35715839804488464,0.09850107066381156,6.691910844661618e-05,1727748266,,False,10,b62a8e58,2024-10-01_02-04-26,0.3534371852874756,4.053978443145752,13875,53f2743d91cf,172.17.0.2,4.053978443145752,10
10,56.66292192041874,0.8404971853117514,0.35737887498671883,0.1023454157782516,6.691910844661618e-05,1727748266,,False,11,b62a8e58,2024-10-01_02-04-26,0.27701807022094727,4.330996513366699,13875,53f2743d91cf,172.17.0.2,4.330996513366699,11
11,56.62285561859608,0.8405267433523014,0.3576836638331028,0.1032258064516129,6.691910844661618e-05,1727748267,,False,12,b62a8e58,2024-10-01_02-04-27,0.28856873512268066,4.61956524848938,13875,53f2743d91cf,172.17.0.2,4.61956524848938,12
12,56.5764100626111,0.8404857434896031,0.35763264598765393,0.1023454157782516,6.691910844661618e-05,1727748267,,False,13,b62a8e58,2024-10-01_02-04-27,0.2747018337249756,4.8942670822143555,13875,53f2743d91cf,172.17.0.2,4.8942670822143555,13
13,56.54131918400526,0.8404962318265724,0.3578142332349867,0.09913793103448276,6.691910844661618e-05,1727748267,,False,14,b62a8e58,2024-10-01_02-04-27,0.28046441078186035,5.174731492996216,13875,53f2743d91cf,172.17.0.2,5.174731492996216,14
14,56.52556513994932,0.8404266274085035,0.35768291799470253,0.10638297872340426,1.400329360941771e-05,1727748267,,False,15,b62a8e58,2024-10-01_02-04-27,0.2883591651916504,5.463090658187866,13875,53f2743d91cf,172.17.0.2,5.463090658187866,15
15,56.437668055295944,0.8404304413492196,0.35771569225648353,0.10638297872340426,1.400329360941771e-05,1727748268,,True,16,b62a8e58,2024-10-01_02-04-28,0.3768587112426758,5.839949369430542,13875,53f2743d91cf,172.17.0.2,5.839949369430542,16
