epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,83.54448315501213,0.8348464761904761,0.3176892284922044,0.0,0.0011245031901691968,1727748205,,False,1,ba6d1428,2024-10-01_02-03-25,1.0028340816497803,1.0028340816497803,12519,53f2743d91cf,172.17.0.2,1.0028340816497803,1
1,64.12090968340635,0.8484916825396825,0.3434014686108865,0.0,0.0011245031901691968,1727748205,,False,2,ba6d1428,2024-10-01_02-03-25,0.2532036304473877,1.256037712097168,12519,53f2743d91cf,172.17.0.2,1.256037712097168,2
2,62.254031009972095,0.8520040634920635,0.35938206186856714,0.0,0.0011245031901691968,1727748206,,False,3,ba6d1428,2024-10-01_02-03-26,0.2572002410888672,1.5132379531860352,12519,53f2743d91cf,172.17.0.2,1.5132379531860352,3
3,61.70626050978899,0.8517140317460317,0.3612374829526057,0.015706806282722512,0.0011245031901691968,1727748206,,False,4,ba6d1428,2024-10-01_02-03-26,0.24812531471252441,1.7613632678985596,12519,53f2743d91cf,172.17.0.2,1.7613632678985596,4
4,61.26805352419615,0.8528375873015873,0.3644312505137948,0.07862407862407862,0.00023355129560259001,1727748206,,False,5,ba6d1428,2024-10-01_02-03-26,0.25246644020080566,2.0138297080993652,12519,53f2743d91cf,172.17.0.2,2.0138297080993652,5
5,60.47575394064188,0.8524302222222222,0.3625731763871367,0.025974025974025976,0.00023355129560259001,1727748206,,False,6,ba6d1428,2024-10-01_02-03-26,0.25049805641174316,2.2643277645111084,12519,53f2743d91cf,172.17.0.2,2.2643277645111084,6
6,60.329821936786175,0.8525561904761905,0.36312668496053874,0.04092071611253197,0.00023355129560259001,1727748207,,False,7,ba6d1428,2024-10-01_02-03-27,0.24963068962097168,2.51395845413208,12519,53f2743d91cf,172.17.0.2,2.51395845413208,7
7,60.33341296762228,0.8525135238095238,0.3623861627414683,0.031007751937984496,0.00023355129560259001,1727748207,,False,8,ba6d1428,2024-10-01_02-03-27,0.2589092254638672,2.7728676795959473,12519,53f2743d91cf,172.17.0.2,2.7728676795959473,8
8,60.17054295539856,0.8524982857142857,0.3627134626328122,0.06982543640897755,0.00023355129560259001,1727748207,,False,9,ba6d1428,2024-10-01_02-03-27,0.24431419372558594,3.017181873321533,12519,53f2743d91cf,172.17.0.2,3.017181873321533,9
9,60.11332103610039,0.8524840634920635,0.36281077844291254,0.059850374064837904,4.850693902383787e-05,1727748207,,False,10,ba6d1428,2024-10-01_02-03-27,0.2384355068206787,3.255617380142212,12519,53f2743d91cf,172.17.0.2,3.255617380142212,10
10,59.856078781187534,0.8525023492063493,0.3627769276024718,0.059850374064837904,4.850693902383787e-05,1727748208,,False,11,ba6d1428,2024-10-01_02-03-28,0.24062633514404297,3.496243715286255,12519,53f2743d91cf,172.17.0.2,3.496243715286255,11
11,59.84318435192108,0.8525409523809525,0.3627898671343197,0.06467661691542288,4.850693902383787e-05,1727748208,,False,12,ba6d1428,2024-10-01_02-03-28,0.31700921058654785,3.8132529258728027,12519,53f2743d91cf,172.17.0.2,3.8132529258728027,12
12,59.744101509451866,0.8525937777777777,0.3632161647673985,0.06947890818858561,4.850693902383787e-05,1727748208,,False,13,ba6d1428,2024-10-01_02-03-28,0.24255156517028809,4.055804491043091,12519,53f2743d91cf,172.17.0.2,4.055804491043091,13
13,59.8984088152647,0.8526069841269842,0.3631121868689763,0.06947890818858561,4.850693902383787e-05,1727748209,,False,14,ba6d1428,2024-10-01_02-03-29,0.24133706092834473,4.2971415519714355,12519,53f2743d91cf,172.17.0.2,4.2971415519714355,14
14,59.93012712150812,0.8525704126984127,0.3632075113891302,0.06947890818858561,1.0074545411497308e-05,1727748209,,False,15,ba6d1428,2024-10-01_02-03-29,0.24598455429077148,4.543126106262207,12519,53f2743d91cf,172.17.0.2,4.543126106262207,15
15,59.746899738907814,0.8525724444444445,0.3630670647810444,0.06947890818858561,1.0074545411497308e-05,1727748209,,True,16,ba6d1428,2024-10-01_02-03-29,0.2525627613067627,4.79568886756897,12519,53f2743d91cf,172.17.0.2,4.79568886756897,16
