epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,77.28961938619614,0.8359035246639259,0.32517833165650606,0.0,0.0017121801732978064,1727748723,,False,1,bc2f3e41,2024-10-01_02-12-03,0.8729987144470215,0.8729987144470215,19514,53f2743d91cf,172.17.0.2,0.8729987144470215,1
1,62.6901320964098,0.8362226512481616,0.3304011659388933,0.005115089514066497,0.0017121801732978064,1727748723,,False,2,bc2f3e41,2024-10-01_02-12-03,0.24331307411193848,1.11631178855896,19514,53f2743d91cf,172.17.0.2,1.11631178855896,2
2,61.35050267726183,0.8404525651038053,0.3371960576076555,0.0387409200968523,0.0017121801732978064,1727748723,,False,3,bc2f3e41,2024-10-01_02-12-03,0.24320125579833984,1.3595130443572998,19514,53f2743d91cf,172.17.0.2,1.3595130443572998,3
3,61.08799630776048,0.8396854720100217,0.3323008604181638,0.07092198581560284,0.0017121801732978064,1727748724,,False,4,bc2f3e41,2024-10-01_02-12-04,0.24347424507141113,1.602987289428711,19514,53f2743d91cf,172.17.0.2,1.602987289428711,4
4,60.73855134099722,0.8405665388838894,0.3385253394091138,0.015189873417721518,0.00035615355757391543,1727748724,,False,5,bc2f3e41,2024-10-01_02-12-04,0.23705577850341797,1.840043067932129,19514,53f2743d91cf,172.17.0.2,1.840043067932129,5
5,59.3633289039135,0.8414129180855576,0.3393014865292,0.015151515151515152,0.00035615355757391543,1727748724,,False,6,bc2f3e41,2024-10-01_02-12-04,0.22997331619262695,2.070016384124756,19514,53f2743d91cf,172.17.0.2,2.070016384124756,6
6,59.26390827447176,0.8414674272847283,0.3392454869500843,0.010178117048346057,0.00035615355757391543,1727748724,,False,7,bc2f3e41,2024-10-01_02-12-04,0.23683691024780273,2.3068532943725586,19514,53f2743d91cf,172.17.0.2,2.3068532943725586,7
7,59.108517579734325,0.8415496866216586,0.33904328817393925,0.015113350125944584,0.00035615355757391543,1727748727,,False,8,bc2f3e41,2024-10-01_02-12-07,0.2790200710296631,2.5858733654022217,19514,53f2743d91cf,172.17.0.2,2.5858733654022217,8
8,58.82489404827356,0.8420937875370168,0.3396959424925309,0.02926829268292683,0.00035615355757391543,1727748727,,False,9,bc2f3e41,2024-10-01_02-12-07,0.24927186965942383,2.8351452350616455,19514,53f2743d91cf,172.17.0.2,2.8351452350616455,9
9,58.6894082352519,0.8419917066731152,0.3389823468929829,0.052256532066508314,7.408411716872133e-05,1727748727,,False,10,bc2f3e41,2024-10-01_02-12-07,0.25069689750671387,3.0858421325683594,19514,53f2743d91cf,172.17.0.2,3.0858421325683594,10
10,58.48001367598772,0.8418717864349398,0.33956853482351623,0.029339853300733496,7.408411716872133e-05,1727748728,,False,11,bc2f3e41,2024-10-01_02-12-08,0.28507328033447266,3.370915412902832,19514,53f2743d91cf,172.17.0.2,3.370915412902832,11
11,58.31760424375534,0.8418777328930311,0.33980421069510963,0.029411764705882353,7.408411716872133e-05,1727748728,,False,12,bc2f3e41,2024-10-01_02-12-08,0.2527945041656494,3.6237099170684814,19514,53f2743d91cf,172.17.0.2,3.6237099170684814,12
12,58.54131235182285,0.8420759481627427,0.34004503664478286,0.02926829268292683,7.408411716872133e-05,1727748728,,False,13,bc2f3e41,2024-10-01_02-12-08,0.2812614440917969,3.9049713611602783,19514,53f2743d91cf,172.17.0.2,3.9049713611602783,13
13,58.24404737353325,0.8420472069486344,0.34022822108235173,0.02926829268292683,7.408411716872133e-05,1727748729,,False,14,bc2f3e41,2024-10-01_02-12-09,0.2557954788208008,4.160766839981079,19514,53f2743d91cf,172.17.0.2,4.160766839981079,14
14,58.41761026531458,0.8418816971984253,0.33992293274341884,0.029339853300733496,1.5410365276302952e-05,1727748729,,False,15,bc2f3e41,2024-10-01_02-12-09,0.24102187156677246,4.401788711547852,19514,53f2743d91cf,172.17.0.2,4.401788711547852,15
15,58.41103487461805,0.8418916079619109,0.339868515990648,0.02926829268292683,1.5410365276302952e-05,1727748729,,True,16,bc2f3e41,2024-10-01_02-12-09,0.2692742347717285,4.67106294631958,19514,53f2743d91cf,172.17.0.2,4.67106294631958,16
