epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,73.51236440241337,0.8412025689905592,0.35483416796555073,0.0,0.0017285248589325956,1727748711,,False,1,c4174854,2024-10-01_02-11-51,0.8704972267150879,0.8704972267150879,19200,53f2743d91cf,172.17.0.2,0.8704972267150879,1
1,61.55601195991039,0.8446161643669814,0.36408732319873366,0.0,0.0017285248589325956,1727748711,,False,2,c4174854,2024-10-01_02-11-51,0.24712347984313965,1.1176207065582275,19200,53f2743d91cf,172.17.0.2,1.1176207065582275,2
2,60.50104732811451,0.8477895787944808,0.3748728316105144,0.0,0.0017285248589325956,1727748712,,False,3,c4174854,2024-10-01_02-11-52,0.24882841110229492,1.3664491176605225,19200,53f2743d91cf,172.17.0.2,1.3664491176605225,3
3,59.773586235940456,0.8487833983902202,0.3805935879210623,0.004878048780487805,0.0017285248589325956,1727748712,,False,4,c4174854,2024-10-01_02-11-52,0.25402021408081055,1.620469331741333,19200,53f2743d91cf,172.17.0.2,1.620469331741333,4
4,59.48684175312519,0.8494717910312273,0.38226246645996054,0.0,0.00036186555300872617,1727748712,,False,5,c4174854,2024-10-01_02-11-52,0.2485036849975586,1.8689730167388916,19200,53f2743d91cf,172.17.0.2,1.8689730167388916,5
5,58.243150256574154,0.8495720240256598,0.3848044527207706,0.0,0.00036186555300872617,1727748712,,False,6,c4174854,2024-10-01_02-11-52,0.25317883491516113,2.1221518516540527,19200,53f2743d91cf,172.17.0.2,2.1221518516540527,6
6,57.91523388773203,0.8495521665456305,0.3863581398881645,0.0,0.00036186555300872617,1727748713,,False,7,c4174854,2024-10-01_02-11-53,0.2524983882904053,2.374650239944458,19200,53f2743d91cf,172.17.0.2,2.374650239944458,7
7,57.67927248775959,0.8495824255628177,0.3896986029977352,0.0,0.00036186555300872617,1727748713,,False,8,c4174854,2024-10-01_02-11-53,0.25620555877685547,2.6308557987213135,19200,53f2743d91cf,172.17.0.2,2.6308557987213135,8
8,57.45053570717573,0.8495909359114016,0.3912077762236107,0.0,0.00036186555300872617,1727748713,,False,9,c4174854,2024-10-01_02-11-53,0.24585366249084473,2.876709461212158,19200,53f2743d91cf,172.17.0.2,2.876709461212158,9
9,57.42121861502528,0.849313876785282,0.3905623744108334,0.009732360097323601,7.575631775129565e-05,1727748713,,False,10,c4174854,2024-10-01_02-11-53,0.25116825103759766,3.127877712249756,19200,53f2743d91cf,172.17.0.2,3.127877712249756,10
10,57.02041635662317,0.8493091488138464,0.39086050639668735,0.009732360097323601,7.575631775129565e-05,1727748714,,False,11,c4174854,2024-10-01_02-11-54,0.2597043514251709,3.3875820636749268,19200,53f2743d91cf,172.17.0.2,3.3875820636749268,11
11,56.928137600421906,0.8492098614137014,0.3905939801088576,0.009732360097323601,7.575631775129565e-05,1727748714,,False,12,c4174854,2024-10-01_02-11-54,0.2415318489074707,3.6291139125823975,19200,53f2743d91cf,172.17.0.2,3.6291139125823975,12
12,56.945746056735516,0.8492420116194628,0.3906562933176513,0.009732360097323601,7.575631775129565e-05,1727748714,,False,13,c4174854,2024-10-01_02-11-54,0.2537877559661865,3.882901668548584,19200,53f2743d91cf,172.17.0.2,3.882901668548584,13
13,56.935369327664375,0.8492098614137014,0.3913348103559625,0.009732360097323601,7.575631775129565e-05,1727748714,,False,14,c4174854,2024-10-01_02-11-54,0.24242687225341797,4.125328540802002,19200,53f2743d91cf,172.17.0.2,4.125328540802002,14
14,56.95518008619547,0.8492240453280078,0.3918615627743782,0.009732360097323601,1.5859535762711517e-05,1727748715,,False,15,c4174854,2024-10-01_02-11-55,0.25328707695007324,4.378615617752075,19200,53f2743d91cf,172.17.0.2,4.378615617752075,15
15,56.87993484735489,0.8492316100823045,0.3917723780964787,0.009732360097323601,1.5859535762711517e-05,1727748715,,True,16,c4174854,2024-10-01_02-11-55,0.24938726425170898,4.628002882003784,19200,53f2743d91cf,172.17.0.2,4.628002882003784,16
