epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,75.88791757822037,0.8305452859663952,0.31864935390178034,0.0,0.0008096582274497889,1727749387,,False,1,c77c81ec,2024-10-01_02-23-07,1.0890774726867676,1.0890774726867676,24476,53f2743d91cf,172.17.0.2,1.0890774726867676,1
1,62.35938087105751,0.8399934162085934,0.33261274249954775,0.0,0.0008096582274497889,1727749387,,False,2,c77c81ec,2024-10-01_02-23-07,0.34739232063293457,1.4364697933197021,24476,53f2743d91cf,172.17.0.2,1.4364697933197021,2
2,61.57637360692024,0.8429045038587252,0.34305478121860056,0.0,0.0008096582274497889,1727749387,,False,3,c77c81ec,2024-10-01_02-23-07,0.3540482521057129,1.790518045425415,24476,53f2743d91cf,172.17.0.2,1.790518045425415,3
3,61.2219600006938,0.8453773213708311,0.3504745048061387,0.0,0.0008096582274497889,1727749388,,False,4,c77c81ec,2024-10-01_02-23-08,0.42582058906555176,2.216338634490967,24476,53f2743d91cf,172.17.0.2,2.216338634490967,4
4,60.749801859259605,0.8439972574028696,0.3411703254622939,0.0,0.0008096582274497889,1727749388,,False,5,c77c81ec,2024-10-01_02-23-08,0.37949109077453613,2.595829725265503,24476,53f2743d91cf,172.17.0.2,2.595829725265503,5
5,60.45009155571461,0.8443430038450899,0.35157458253916163,0.0,0.0008096582274497889,1727749389,,False,6,c77c81ec,2024-10-01_02-23-09,0.37796926498413086,2.973798990249634,24476,53f2743d91cf,172.17.0.2,2.973798990249634,6
6,60.286601945757866,0.8481150488330327,0.35647110386695785,0.0,0.00036805270428608795,1727749392,,False,7,c77c81ec,2024-10-01_02-23-12,0.39337801933288574,3.3671770095825195,24476,53f2743d91cf,172.17.0.2,3.3671770095825195,7
7,59.44933891296387,0.848155954045915,0.3593923305599243,0.0,0.00036805270428608795,1727749392,,False,8,c77c81ec,2024-10-01_02-23-12,0.416790246963501,3.7839672565460205,24476,53f2743d91cf,172.17.0.2,3.7839672565460205,8
8,59.334621861577034,0.8496898995290056,0.3679982341661374,0.0,0.00036805270428608795,1727749392,,False,9,c77c81ec,2024-10-01_02-23-12,0.4253275394439697,4.20929479598999,24476,53f2743d91cf,172.17.0.2,4.20929479598999,9
9,59.22094213962555,0.8490763213357695,0.3677563623313426,0.0,0.00036805270428608795,1727749393,,False,10,c77c81ec,2024-10-01_02-23-13,0.4594688415527344,4.668763637542725,24476,53f2743d91cf,172.17.0.2,4.668763637542725,10
10,58.73218136280775,0.8495525748857576,0.3659012734987087,0.0,0.00036805270428608795,1727749393,,False,11,c77c81ec,2024-10-01_02-23-13,0.35883355140686035,5.027597188949585,24476,53f2743d91cf,172.17.0.2,5.027597188949585,11
11,58.613848596811295,0.8491191744159321,0.3647422309828431,0.0,0.00036805270428608795,1727749394,,False,12,c77c81ec,2024-10-01_02-23-14,0.34982991218566895,5.377427101135254,24476,53f2743d91cf,172.17.0.2,5.377427101135254,12
12,58.23657166957855,0.8501194042642711,0.3726049816567788,0.0,0.00036805270428608795,1727749394,,False,13,c77c81ec,2024-10-01_02-23-14,0.3499948978424072,5.727421998977661,24476,53f2743d91cf,172.17.0.2,5.727421998977661,13
13,58.073285929858685,0.8504383675313899,0.37091186146611943,0.0,0.0001673086106454754,1727749394,,False,14,c77c81ec,2024-10-01_02-23-14,0.3496742248535156,6.077096223831177,24476,53f2743d91cf,172.17.0.2,6.077096223831177,14
14,57.57683955878019,0.8497347004764484,0.36955501298396254,0.0,0.0001673086106454754,1727749395,,False,15,c77c81ec,2024-10-01_02-23-15,0.371091365814209,6.448187589645386,24476,53f2743d91cf,172.17.0.2,6.448187589645386,15
15,57.457266606390476,0.8505528047340966,0.37308140166283793,0.0,0.0001673086106454754,1727749395,,True,16,c77c81ec,2024-10-01_02-23-15,0.3870053291320801,6.835192918777466,24476,53f2743d91cf,172.17.0.2,6.835192918777466,16
