epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,36.22195252776146,0.8420228866740496,0.36691075508861887,0.0,0.0014610168394900021,1727749354,,False,1,c9a71c17,2024-10-01_02-22-34,0.965705156326294,0.965705156326294,23705,53f2743d91cf,172.17.0.2,0.965705156326294,1
1,31.255794569849968,0.8395616463639719,0.37130363439343433,0.0,0.0014610168394900021,1727749354,,False,2,c9a71c17,2024-10-01_02-22-34,0.3416445255279541,1.307349681854248,23705,53f2743d91cf,172.17.0.2,1.307349681854248,2
2,30.67370703816414,0.8388215208564046,0.36812636919989905,0.0,0.0014610168394900021,1727749354,,False,3,c9a71c17,2024-10-01_02-22-34,0.30718421936035156,1.6145339012145996,23705,53f2743d91cf,172.17.0.2,1.6145339012145996,3
3,30.353316441178322,0.8425885935769657,0.3694845792064097,0.0,0.0014610168394900021,1727749355,,False,4,c9a71c17,2024-10-01_02-22-35,0.30742788314819336,1.921961784362793,23705,53f2743d91cf,172.17.0.2,1.921961784362793,4
4,29.828632846474648,0.8442165005537098,0.374241929689132,0.0,0.0014610168394900021,1727749355,,False,5,c9a71c17,2024-10-01_02-22-35,0.30735182762145996,2.229313611984253,23705,53f2743d91cf,172.17.0.2,2.229313611984253,5
5,29.860959261655807,0.8443715393133997,0.38334526603219515,0.0,0.0014610168394900021,1727749355,,False,6,c9a71c17,2024-10-01_02-22-35,0.3312385082244873,2.5605521202087402,23705,53f2743d91cf,172.17.0.2,2.5605521202087402,6
6,29.428722210228443,0.8423864894795128,0.3633129218374166,0.0,0.00044401970649108783,1727749356,,False,7,c9a71c17,2024-10-01_02-22-36,0.3268086910247803,2.8873608112335205,23705,53f2743d91cf,172.17.0.2,2.8873608112335205,7
7,28.890876919031143,0.8441768180140273,0.3812458463076733,0.0,0.00044401970649108783,1727749356,,False,8,c9a71c17,2024-10-01_02-22-36,0.363156795501709,3.2505176067352295,23705,53f2743d91cf,172.17.0.2,3.2505176067352295,8
8,28.51890043914318,0.8444259874492431,0.3855667915769517,0.0,0.00044401970649108783,1727749356,,False,9,c9a71c17,2024-10-01_02-22-36,0.34214162826538086,3.5926592350006104,23705,53f2743d91cf,172.17.0.2,3.5926592350006104,9
9,28.345656372606754,0.8435049833887043,0.3826368214371265,0.0,0.00044401970649108783,1727749357,,False,10,c9a71c17,2024-10-01_02-22-37,0.374755859375,3.9674150943756104,23705,53f2743d91cf,172.17.0.2,3.9674150943756104,10
10,27.942356675863266,0.8435040605389443,0.3797194130707411,0.0,0.00044401970649108783,1727749357,,False,11,c9a71c17,2024-10-01_02-22-37,0.3413228988647461,4.3087379932403564,23705,53f2743d91cf,172.17.0.2,4.3087379932403564,11
11,28.209405556321144,0.8425830564784054,0.3783278114095569,0.0,0.00044401970649108783,1727749357,,False,12,c9a71c17,2024-10-01_02-22-37,0.3624091148376465,4.671147108078003,23705,53f2743d91cf,172.17.0.2,4.671147108078003,12
12,27.839730590581894,0.8430786267995569,0.3764537630027968,0.0,0.00044401970649108783,1727749358,,False,13,c9a71c17,2024-10-01_02-22-38,0.37163591384887695,5.04278302192688,23705,53f2743d91cf,172.17.0.2,5.04278302192688,13
13,27.49108961224556,0.8422240679217424,0.3704383300691158,0.0,0.0001349426607712833,1727749358,,False,14,c9a71c17,2024-10-01_02-22-38,0.34094786643981934,5.383730888366699,23705,53f2743d91cf,172.17.0.2,5.383730888366699,14
14,27.270642653107643,0.8420967146548541,0.37019455132011553,0.0,0.0001349426607712833,1727749358,,False,15,c9a71c17,2024-10-01_02-22-38,0.34752678871154785,5.731257677078247,23705,53f2743d91cf,172.17.0.2,5.731257677078247,15
15,27.404715329408646,0.8420939461055739,0.3720508269013038,0.0,0.0001349426607712833,1727749359,,True,16,c9a71c17,2024-10-01_02-22-39,0.32155585289001465,6.052813529968262,23705,53f2743d91cf,172.17.0.2,6.052813529968262,16
