epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,66.4994195625186,0.8373002654477273,0.3570833048649416,0.0,0.0018068403163170293,1727748213,,False,1,cc9da098,2024-10-01_02-03-33,1.1292481422424316,1.1292481422424316,12708,53f2743d91cf,172.17.0.2,1.1292481422424316,1
1,61.106939159333706,0.8440614917728189,0.3715976202579168,0.0,0.0018068403163170293,1727748214,,False,2,cc9da098,2024-10-01_02-03-34,0.5359210968017578,1.6651692390441895,12708,53f2743d91cf,172.17.0.2,1.6651692390441895,2
2,59.66226800531149,0.8457581679671686,0.36482324025302776,0.0,0.0018068403163170293,1727748215,,False,3,cc9da098,2024-10-01_02-03-35,0.5858869552612305,2.25105619430542,12708,53f2743d91cf,172.17.0.2,2.25105619430542,3
3,59.23936862498522,0.8472566784213551,0.3744519103773188,0.0,0.0018068403163170293,1727748216,,False,4,cc9da098,2024-10-01_02-03-36,0.5352554321289062,2.786311626434326,12708,53f2743d91cf,172.17.0.2,2.786311626434326,4
4,57.86136341840029,0.8437000752086168,0.3697916429472741,0.0,0.0003483663264974962,1727748216,,False,5,cc9da098,2024-10-01_02-03-36,0.5301425457000732,3.3164541721343994,12708,53f2743d91cf,172.17.0.2,3.3164541721343994,5
5,54.9269115626812,0.8450221237894197,0.3724130139693076,0.20109689213893966,0.0003483663264974962,1727748217,,False,6,cc9da098,2024-10-01_02-03-37,0.5190181732177734,3.835472345352173,12708,53f2743d91cf,172.17.0.2,3.835472345352173,6
6,53.52650175988674,0.8454703558207411,0.3722139634833433,0.31703703703703706,0.0003483663264974962,1727748217,,False,7,cc9da098,2024-10-01_02-03-37,0.5360221862792969,4.37149453163147,12708,53f2743d91cf,172.17.0.2,4.37149453163147,7
7,52.65210883319378,0.8451485724045713,0.3741056370040872,0.2936630602782071,0.0003483663264974962,1727748218,,False,8,cc9da098,2024-10-01_02-03-38,0.5507969856262207,4.92229151725769,12708,53f2743d91cf,172.17.0.2,4.92229151725769,8
8,52.07194794714451,0.8436906387447992,0.3681591774425645,0.34112792297111416,0.0003483663264974962,1727748218,,False,9,cc9da098,2024-10-01_02-03-38,0.5246658325195312,5.446957349777222,12708,53f2743d91cf,172.17.0.2,5.446957349777222,9
9,51.291960284113884,0.8430055514716637,0.3680552966558686,0.3323943661971831,6.71664763849925e-05,1727748219,,False,10,cc9da098,2024-10-01_02-03-39,0.5246679782867432,5.971625328063965,12708,53f2743d91cf,172.17.0.2,5.971625328063965,10
10,49.9911880120635,0.8430215934601532,0.3695773571883614,0.31059506531204645,6.71664763849925e-05,1727748219,,False,11,cc9da098,2024-10-01_02-03-39,0.5279793739318848,6.49960470199585,12708,53f2743d91cf,172.17.0.2,6.49960470199585,11
11,49.561083152890205,0.842673387945295,0.3686748789320039,0.321377331420373,6.71664763849925e-05,1727748220,,False,12,cc9da098,2024-10-01_02-03-40,0.535327672958374,7.034932374954224,12708,53f2743d91cf,172.17.0.2,7.034932374954224,12
12,49.24891659244895,0.842328013369582,0.36822269205185426,0.31746031746031744,6.71664763849925e-05,1727748220,,False,13,cc9da098,2024-10-01_02-03-40,0.5350229740142822,7.569955348968506,12708,53f2743d91cf,172.17.0.2,7.569955348968506,13
13,49.042570091784,0.8420383139303911,0.36800368884686796,0.32230215827338127,6.71664763849925e-05,1727748221,,False,14,cc9da098,2024-10-01_02-03-41,0.53727126121521,8.107226610183716,12708,53f2743d91cf,172.17.0.2,8.107226610183716,14
14,48.80355355143547,0.8419382874139275,0.36824549244147486,0.31850789096126253,1.2949975950124387e-05,1727748222,,False,15,cc9da098,2024-10-01_02-03-42,0.5729150772094727,8.680141687393188,12708,53f2743d91cf,172.17.0.2,8.680141687393188,15
15,48.56025316566229,0.8418311835496014,0.36812013702403895,0.32331902718168815,1.2949975950124387e-05,1727748222,,False,16,cc9da098,2024-10-01_02-03-42,0.640648603439331,9.32079029083252,12708,53f2743d91cf,172.17.0.2,9.32079029083252,16
16,48.477815978229046,0.8417599382477807,0.36794373514014855,0.32331902718168815,1.2949975950124387e-05,1727748223,,False,17,cc9da098,2024-10-01_02-03-43,0.5423641204833984,9.863154411315918,12708,53f2743d91cf,172.17.0.2,9.863154411315918,17
17,48.388991713523865,0.841671707311089,0.36784486231445024,0.3209169054441261,1.2949975950124387e-05,1727748223,,False,18,cc9da098,2024-10-01_02-03-43,0.5407335758209229,10.40388798713684,12708,53f2743d91cf,172.17.0.2,10.40388798713684,18
18,48.25491680204868,0.8416032929484136,0.36779067956114375,0.32285714285714284,1.2949975950124387e-05,1727748224,,False,19,cc9da098,2024-10-01_02-03-44,0.5667068958282471,10.970594882965088,12708,53f2743d91cf,172.17.0.2,10.970594882965088,19
19,48.27632896602154,0.8414381548316112,0.3675862418503528,0.32763532763532766,2.4968092139826898e-06,1727748224,,False,20,cc9da098,2024-10-01_02-03-44,0.5611321926116943,11.531727075576782,12708,53f2743d91cf,172.17.0.2,11.531727075576782,20
