epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,68.72518494725227,0.8476736418115729,0.3663596558111495,0.0,0.0022862479498418574,1727748941,,False,1,cd15fb26,2024-10-01_02-15-41,1.344480037689209,1.344480037689209,22201,53f2743d91cf,172.17.0.2,1.344480037689209,1
1,62.642591677606106,0.8496198054818744,0.3459519952943232,0.0,0.0022862479498418574,1727748941,,False,2,cd15fb26,2024-10-01_02-15-41,0.6773695945739746,2.0218496322631836,22201,53f2743d91cf,172.17.0.2,2.0218496322631836,2
2,61.953708201646805,0.8525582080754494,0.36810370694151373,0.0,0.0022862479498418574,1727748942,,False,3,cd15fb26,2024-10-01_02-15-42,0.7633876800537109,2.7852373123168945,22201,53f2743d91cf,172.17.0.2,2.7852373123168945,3
3,59.97972993552685,0.8496561548285687,0.35914745627986755,0.0,0.0022862479498418574,1727748943,,False,4,cd15fb26,2024-10-01_02-15-43,0.8132762908935547,3.598513603210449,22201,53f2743d91cf,172.17.0.2,3.598513603210449,4
4,59.52849277108908,0.8524471952058158,0.3687004534967257,0.0,0.0022862479498418574,1727748944,,False,5,cd15fb26,2024-10-01_02-15-44,0.792565107345581,4.39107871055603,22201,53f2743d91cf,172.17.0.2,4.39107871055603,5
5,57.793103121221066,0.8503684055408192,0.36603204940623385,0.16494845360824742,0.0022862479498418574,1727748945,,False,6,cd15fb26,2024-10-01_02-15-45,0.7102501392364502,5.1013288497924805,22201,53f2743d91cf,172.17.0.2,5.1013288497924805,6
6,56.62854507565498,0.8518656056587091,0.37725477326611423,0.0,0.0004578255857188992,1727748945,,False,7,cd15fb26,2024-10-01_02-15-45,0.6882870197296143,5.789615869522095,22201,53f2743d91cf,172.17.0.2,5.789615869522095,7
7,53.220581255853176,0.8510845859121722,0.37339026883722054,0.24,0.0004578255857188992,1727748946,,False,8,cd15fb26,2024-10-01_02-15-46,0.6938192844390869,6.483435153961182,22201,53f2743d91cf,172.17.0.2,6.483435153961182,8
8,51.73729111999273,0.8490775125257883,0.36432907323544494,0.2740619902120718,0.0004578255857188992,1727748947,,False,9,cd15fb26,2024-10-01_02-15-47,0.8085932731628418,7.292028427124023,22201,53f2743d91cf,172.17.0.2,7.292028427124023,9
9,50.91525552421808,0.8484389429217016,0.3678419371923236,0.26573426573426573,0.0004578255857188992,1727748948,,False,10,cd15fb26,2024-10-01_02-15-48,0.7458450794219971,8.03787350654602,22201,53f2743d91cf,172.17.0.2,8.03787350654602,10
10,50.15600714087486,0.8470380194518126,0.356294219210547,0.32983508245877063,0.0004578255857188992,1727748948,,False,11,cd15fb26,2024-10-01_02-15-48,0.8949918746948242,8.932865381240845,22201,53f2743d91cf,172.17.0.2,8.932865381240845,11
11,49.28462352976203,0.8472993417821005,0.3567235546797238,0.29,0.0004578255857188992,1727748949,,False,12,cd15fb26,2024-10-01_02-15-49,0.788001298904419,9.720866680145264,22201,53f2743d91cf,172.17.0.2,9.720866680145264,12
12,48.719610534608364,0.8451753610374299,0.35344673417574646,0.24511545293072823,0.0004578255857188992,1727748950,,False,13,cd15fb26,2024-10-01_02-15-50,0.802609920501709,10.523476600646973,22201,53f2743d91cf,172.17.0.2,10.523476600646973,13
13,47.5316964276135,0.8430887120542292,0.3420239148190585,0.2953846153846154,9.168046140986225e-05,1727748951,,False,14,cd15fb26,2024-10-01_02-15-51,0.8877019882202148,11.411178588867188,22201,53f2743d91cf,172.17.0.2,11.411178588867188,14
14,45.697257809340954,0.8442165242165243,0.34827338437324057,0.2866043613707165,9.168046140986225e-05,1727748952,,False,15,cd15fb26,2024-10-01_02-15-52,1.0023410320281982,12.413519620895386,22201,53f2743d91cf,172.17.0.2,12.413519620895386,15
15,45.22750132903457,0.8444238137341585,0.3491230250539472,0.2884012539184953,9.168046140986225e-05,1727748953,,False,16,cd15fb26,2024-10-01_02-15-53,1.0094125270843506,13.422932147979736,22201,53f2743d91cf,172.17.0.2,13.422932147979736,16
16,44.5467289686203,0.8442086648983201,0.34838084471417835,0.2892690513219285,9.168046140986225e-05,1727748954,,False,17,cd15fb26,2024-10-01_02-15-54,0.9048776626586914,14.327809810638428,22201,53f2743d91cf,172.17.0.2,14.327809810638428,17
17,44.43630654364824,0.8436005501522743,0.34684246754610154,0.2766295707472178,9.168046140986225e-05,1727748955,,False,18,cd15fb26,2024-10-01_02-15-55,0.7405402660369873,15.068350076675415,22201,53f2743d91cf,172.17.0.2,15.068350076675415,18
18,43.879490569233894,0.8436103743000296,0.3472680719308909,0.290625,9.168046140986225e-05,1727748955,,False,19,cd15fb26,2024-10-01_02-15-55,0.6859080791473389,15.754258155822754,22201,53f2743d91cf,172.17.0.2,15.754258155822754,19
19,43.677134461700916,0.8442705570291777,0.3486015801928294,0.2686084142394822,9.168046140986225e-05,1727748956,,False,20,cd15fb26,2024-10-01_02-15-56,0.7106592655181885,16.464917421340942,22201,53f2743d91cf,172.17.0.2,16.464917421340942,20
