epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,74.07810179144144,0.8452693716299883,0.38092923775924015,0.0,0.0015042760441959081,1727748420,,False,1,cd2eefc1,2024-10-01_02-07-00,0.9160997867584229,0.9160997867584229,14820,53f2743d91cf,172.17.0.2,0.9160997867584229,1
1,61.13238365203142,0.8506314399338843,0.3994474359636436,0.0,0.0015042760441959081,1727748420,,False,2,cd2eefc1,2024-10-01_02-07-00,0.2782740592956543,1.1943738460540771,14820,53f2743d91cf,172.17.0.2,1.1943738460540771,2
2,59.95356277376413,0.8522946264194879,0.40367008898119455,0.0,0.0015042760441959081,1727748420,,False,3,cd2eefc1,2024-10-01_02-07-00,0.2799723148345947,1.4743461608886719,14820,53f2743d91cf,172.17.0.2,1.4743461608886719,3
3,59.88432199507952,0.8561886542041554,0.41996632084999586,0.0,0.0015042760441959081,1727748421,,False,4,cd2eefc1,2024-10-01_02-07-01,0.2682814598083496,1.7426276206970215,14820,53f2743d91cf,172.17.0.2,1.7426276206970215,4
4,59.018934458494186,0.8532960949279832,0.4182725216370063,0.0,0.0003004028174368378,1727748421,,False,5,cd2eefc1,2024-10-01_02-07-01,0.27730274200439453,2.019930362701416,14820,53f2743d91cf,172.17.0.2,2.019930362701416,5
5,57.68247592449188,0.8545942601815185,0.41895838908944333,0.0,0.0003004028174368378,1727748421,,False,6,cd2eefc1,2024-10-01_02-07-01,0.26642608642578125,2.2863564491271973,14820,53f2743d91cf,172.17.0.2,2.2863564491271973,6
6,57.29516330361366,0.8542741646395507,0.41436054900165675,0.0,0.0003004028174368378,1727748421,,False,7,cd2eefc1,2024-10-01_02-07-01,0.27220702171325684,2.558563470840454,14820,53f2743d91cf,172.17.0.2,2.558563470840454,7
7,57.07978979498148,0.8553345981163032,0.4206386889622871,0.0,0.0003004028174368378,1727748422,,False,8,cd2eefc1,2024-10-01_02-07-02,0.2810380458831787,2.839601516723633,14820,53f2743d91cf,172.17.0.2,2.839601516723633,8
8,56.794855408370495,0.8550893787245034,0.4181048599170487,0.0,0.0003004028174368378,1727748422,,False,9,cd2eefc1,2024-10-01_02-07-02,0.3088822364807129,3.1484837532043457,14820,53f2743d91cf,172.17.0.2,3.1484837532043457,9
9,56.670075699687004,0.8546588408610382,0.4131409918421301,0.0,5.999022125771321e-05,1727748422,,False,10,cd2eefc1,2024-10-01_02-07-02,0.3222239017486572,3.470707654953003,14820,53f2743d91cf,172.17.0.2,3.470707654953003,10
10,56.27090231329203,0.8550332216118777,0.4174962363747342,0.0,5.999022125771321e-05,1727748423,,False,11,cd2eefc1,2024-10-01_02-07-03,0.28551721572875977,3.7562248706817627,14820,53f2743d91cf,172.17.0.2,3.7562248706817627,11
11,56.11981010437012,0.8551558313077774,0.4190899429509761,0.0,5.999022125771321e-05,1727748423,,False,12,cd2eefc1,2024-10-01_02-07-03,0.2761685848236084,4.032393455505371,14820,53f2743d91cf,172.17.0.2,4.032393455505371,12
12,56.01997783780098,0.8550341575637548,0.41694827346134095,0.004830917874396135,5.999022125771321e-05,1727748423,,False,13,cd2eefc1,2024-10-01_02-07-03,0.2751343250274658,4.307527780532837,14820,53f2743d91cf,172.17.0.2,4.307527780532837,13
13,55.998199455440044,0.855102482050783,0.4168188225915926,0.00963855421686747,5.999022125771321e-05,1727748424,,False,14,cd2eefc1,2024-10-01_02-07-04,0.31652235984802246,4.624050140380859,14820,53f2743d91cf,172.17.0.2,4.624050140380859,14
14,55.968019381165504,0.8551080977620454,0.4177628662089475,0.014423076923076924,1.1980002974859144e-05,1727748424,,False,15,cd2eefc1,2024-10-01_02-07-04,0.2684006690979004,4.89245080947876,14820,53f2743d91cf,172.17.0.2,4.89245080947876,15
15,55.850465312600136,0.8551118415695539,0.41795408325191125,0.014423076923076924,1.1980002974859144e-05,1727748424,,True,16,cd2eefc1,2024-10-01_02-07-04,0.2713165283203125,5.163767337799072,14820,53f2743d91cf,172.17.0.2,5.163767337799072,16
