epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,76.98578253388405,0.8372845202183091,0.3522059928064685,0.0,0.0012826882947350434,1727748503,,False,1,db672eed,2024-10-01_02-08-23,1.085331678390503,1.085331678390503,16693,53f2743d91cf,172.17.0.2,1.085331678390503,1
1,60.878755040466785,0.8344508862529404,0.3468127810556742,0.0,0.0012826882947350434,1727748505,,False,2,db672eed,2024-10-01_02-08-25,0.3976905345916748,1.4830222129821777,16693,53f2743d91cf,172.17.0.2,1.4830222129821777,2
2,59.87989305704832,0.8349723251151995,0.34377235106849224,0.0,0.0012826882947350434,1727748505,,False,3,db672eed,2024-10-01_02-08-25,0.3961217403411865,1.8791439533233643,16693,53f2743d91cf,172.17.0.2,1.8791439533233643,3
3,59.599433951079845,0.8342780389263768,0.34153966849406603,0.0,0.0012826882947350434,1727748506,,False,4,db672eed,2024-10-01_02-08-26,0.4109947681427002,2.2901387214660645,16693,53f2743d91cf,172.17.0.2,2.2901387214660645,4
4,58.645525723695755,0.8384283060189495,0.3535396230488472,0.0,0.00025920149490499435,1727748507,,False,5,db672eed,2024-10-01_02-08-27,0.6106717586517334,2.900810480117798,16693,53f2743d91cf,172.17.0.2,2.900810480117798,5
5,56.60230152308941,0.8379551485328255,0.35337708153312786,0.0,0.00025920149490499435,1727748507,,False,6,db672eed,2024-10-01_02-08-27,0.41516566276550293,3.315976142883301,16693,53f2743d91cf,172.17.0.2,3.315976142883301,6
6,56.282570853829384,0.8368089486633783,0.3487840746713449,0.0,0.00025920149490499435,1727748507,,False,7,db672eed,2024-10-01_02-08-27,0.37940454483032227,3.695380687713623,16693,53f2743d91cf,172.17.0.2,3.695380687713623,7
7,56.144948840141296,0.8367075577734947,0.3488683070780481,0.0,0.00025920149490499435,1727748508,,False,8,db672eed,2024-10-01_02-08-28,0.44638872146606445,4.1417694091796875,16693,53f2743d91cf,172.17.0.2,4.1417694091796875,8
8,55.798141941428185,0.8367510110120162,0.34949705446623835,0.0,0.00025920149490499435,1727748508,,False,9,db672eed,2024-10-01_02-08-28,0.43884944915771484,4.580618858337402,16693,53f2743d91cf,172.17.0.2,4.580618858337402,9
9,55.40555524080992,0.8367481141294482,0.3499255114228651,0.04265402843601896,5.237859832100664e-05,1727748509,,False,10,db672eed,2024-10-01_02-08-29,0.4188857078552246,4.999504566192627,16693,53f2743d91cf,172.17.0.2,4.999504566192627,10
10,54.737492337822914,0.8367297672065168,0.35072344670206385,0.060324825986078884,5.237859832100664e-05,1727748509,,False,11,db672eed,2024-10-01_02-08-29,0.37922096252441406,5.378725528717041,16693,53f2743d91cf,172.17.0.2,5.378725528717041,11
11,54.80354993790388,0.8367452172468801,0.3510021898186242,0.0894854586129754,5.237859832100664e-05,1727748509,,False,12,db672eed,2024-10-01_02-08-29,0.38120365142822266,5.759929180145264,16693,53f2743d91cf,172.17.0.2,5.759929180145264,12
12,54.77258923649788,0.8365675417827031,0.3507259765937626,0.11889596602972399,5.237859832100664e-05,1727748510,,False,13,db672eed,2024-10-01_02-08-30,0.37611842155456543,6.136047601699829,16693,53f2743d91cf,172.17.0.2,6.136047601699829,13
13,54.55892100930214,0.8365289166817951,0.3505737083492865,0.17131474103585656,5.237859832100664e-05,1727748510,,False,14,db672eed,2024-10-01_02-08-30,0.42511510848999023,6.561162710189819,16693,53f2743d91cf,172.17.0.2,6.561162710189819,14
14,54.44964036345482,0.8364883603258413,0.3506428857121056,0.17898832684824903,1.0584497450830469e-05,1727748511,,False,15,db672eed,2024-10-01_02-08-31,0.3875308036804199,6.948693513870239,16693,53f2743d91cf,172.17.0.2,6.948693513870239,15
15,54.45987881720066,0.8364603571276831,0.3505597305084659,0.19193857965451055,1.0584497450830469e-05,1727748511,,True,16,db672eed,2024-10-01_02-08-31,0.37162041664123535,7.320313930511475,16693,53f2743d91cf,172.17.0.2,7.320313930511475,16
