epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,4857.060106515884,0.5393114608971702,0.16061942769108045,0.0,3.453329264181296e-06,1727748032,,False,1,e65f4a7a,2024-10-01_02-00-32,5.580580472946167,5.580580472946167,10464,53f2743d91cf,172.17.0.2,5.580580472946167,1
1,4258.3148157298565,0.6016033583972619,0.19448013466144742,0.0,3.453329264181296e-06,1727748038,,False,2,e65f4a7a,2024-10-01_02-00-38,5.968547344207764,11.54912781715393,10464,53f2743d91cf,172.17.0.2,11.54912781715393,2
2,3682.5910208523273,0.6430255648311826,0.21155956382212537,0.0,3.453329264181296e-06,1727748043,,False,3,e65f4a7a,2024-10-01_02-00-43,5.584678649902344,17.133806467056274,10464,53f2743d91cf,172.17.0.2,17.133806467056274,3
3,3223.840958699584,0.6782212598876588,0.22634757948121398,0.0,3.453329264181296e-06,1727748048,,False,4,e65f4a7a,2024-10-01_02-00-48,4.948316812515259,22.082123279571533,10464,53f2743d91cf,172.17.0.2,22.082123279571533,4
4,2919.356815099716,0.7094158422447957,0.24293640205539457,0.0,3.453329264181296e-06,1727748053,,False,5,e65f4a7a,2024-10-01_02-00-53,4.733454942703247,26.81557822227478,10464,53f2743d91cf,172.17.0.2,26.81557822227478,5
5,2735.9800091683865,0.7337697670943605,0.255942243908647,0.0,3.453329264181296e-06,1727748058,,False,6,e65f4a7a,2024-10-01_02-00-58,4.718440294265747,31.534018516540527,10464,53f2743d91cf,172.17.0.2,31.534018516540527,6
6,2622.6706142500043,0.7523247803969443,0.26621932425899586,0.0,3.453329264181296e-06,1727748063,,False,7,e65f4a7a,2024-10-01_02-01-03,4.672977924346924,36.20699644088745,10464,53f2743d91cf,172.17.0.2,36.20699644088745,7
7,2542.212831020355,0.7659440699421753,0.2757322679581566,0.0,3.453329264181296e-06,1727748067,,False,8,e65f4a7a,2024-10-01_02-01-07,4.7191033363342285,40.92609977722168,10464,53f2743d91cf,172.17.0.2,40.92609977722168,8
8,2485.381077684462,0.7756238023680572,0.2829828289810067,0.0,3.453329264181296e-06,1727748072,,False,9,e65f4a7a,2024-10-01_02-01-12,4.736886739730835,45.662986516952515,10464,53f2743d91cf,172.17.0.2,45.662986516952515,9
9,2440.4110160171986,0.7831904398075706,0.2894371275078519,0.0,1.7192864545586648e-06,1727748077,,False,10,e65f4a7a,2024-10-01_02-01-17,5.210277080535889,50.8732635974884,10464,53f2743d91cf,172.17.0.2,50.8732635974884,10
10,2412.5815514959395,0.7862296878333283,0.292305165336457,0.0,1.7192864545586648e-06,1727748083,,False,11,e65f4a7a,2024-10-01_02-01-23,5.839404582977295,56.7126681804657,10464,53f2743d91cf,172.17.0.2,56.7126681804657,11
11,2398.9252504482865,0.789126559212239,0.2952175786759808,0.0,1.7192864545586648e-06,1727748090,,False,12,e65f4a7a,2024-10-01_02-01-30,6.46550440788269,63.17817258834839,10464,53f2743d91cf,172.17.0.2,63.17817258834839,12
12,2372.864913754165,0.7916028791095399,0.2976015786159242,0.0,1.7192864545586648e-06,1727748096,,False,13,e65f4a7a,2024-10-01_02-01-36,6.861230373382568,70.03940296173096,10464,53f2743d91cf,172.17.0.2,70.03940296173096,13
13,2353.4676978942007,0.7940087155183027,0.30085682451047246,0.0,1.7192864545586648e-06,1727748103,,False,14,e65f4a7a,2024-10-01_02-01-43,6.897278070449829,76.93668103218079,10464,53f2743d91cf,172.17.0.2,76.93668103218079,14
14,2336.9909035060555,0.7961495340101628,0.30356488500281864,0.0,1.7192864545586648e-06,1727748110,,False,15,e65f4a7a,2024-10-01_02-01-50,6.853726625442505,83.79040765762329,10464,53f2743d91cf,172.17.0.2,83.79040765762329,15
15,2330.6423198152333,0.7980582268797711,0.30552198614860565,0.0,1.7192864545586648e-06,1727748117,,False,16,e65f4a7a,2024-10-01_02-01-57,6.907858848571777,90.69826650619507,10464,53f2743d91cf,172.17.0.2,90.69826650619507,16
16,2311.183201542124,0.7997836626791807,0.30799233253688485,0.0,1.7192864545586648e-06,1727748124,,False,17,e65f4a7a,2024-10-01_02-02-04,7.056638240814209,97.75490474700928,10464,53f2743d91cf,172.17.0.2,97.75490474700928,17
17,2294.8865127582103,0.8013681315015144,0.3087900337135169,0.0,1.7192864545586648e-06,1727748131,,False,18,e65f4a7a,2024-10-01_02-02-11,6.904573917388916,104.6594786643982,10464,53f2743d91cf,172.17.0.2,104.6594786643982,18
18,2283.088903453201,0.8028821168353101,0.3100092453080106,0.0,1.7192864545586648e-06,1727748138,,False,19,e65f4a7a,2024-10-01_02-02-18,6.938990354537964,111.59846901893616,10464,53f2743d91cf,172.17.0.2,111.59846901893616,19
19,2270.5058210585266,0.8042922564959931,0.3113828963691263,0.0,8.559699022878114e-07,1727748145,,False,20,e65f4a7a,2024-10-01_02-02-25,6.952641725540161,118.55111074447632,10464,53f2743d91cf,172.17.0.2,118.55111074447632,20
