epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,76.33494713157415,0.8287815094183164,0.3159036071249199,0.0,0.001759765828732398,1727748673,,False,1,ebbab88a,2024-10-01_02-11-13,1.103496789932251,1.103496789932251,18914,53f2743d91cf,172.17.0.2,1.103496789932251,1
1,62.12167902290821,0.8426660302506596,0.3423365315690747,0.01038961038961039,0.001759765828732398,1727748673,,False,2,ebbab88a,2024-10-01_02-11-13,0.3562593460083008,1.4597561359405518,18914,53f2743d91cf,172.17.0.2,1.4597561359405518,2
2,61.11459347605705,0.8410288096222864,0.33061631226232724,0.015544041450777202,0.001759765828732398,1727748674,,False,3,ebbab88a,2024-10-01_02-11-14,0.43691229820251465,1.8966684341430664,18914,53f2743d91cf,172.17.0.2,1.8966684341430664,3
3,60.529201701283455,0.8426559177081743,0.34219553602775193,0.03535353535353535,0.001759765828732398,1727748674,,False,4,ebbab88a,2024-10-01_02-11-14,0.44443535804748535,2.3411037921905518,18914,53f2743d91cf,172.17.0.2,2.3411037921905518,4
4,60.04414427280426,0.8428713148631115,0.33514127467378535,0.015503875968992248,0.000393066718439634,1727748674,,False,5,ebbab88a,2024-10-01_02-11-14,0.4283173084259033,2.769421100616455,18914,53f2743d91cf,172.17.0.2,2.769421100616455,5
5,58.98875807970762,0.8437268359573696,0.3367938463417221,0.015306122448979591,0.000393066718439634,1727748675,,False,6,ebbab88a,2024-10-01_02-11-15,0.3773508071899414,3.1467719078063965,18914,53f2743d91cf,172.17.0.2,3.1467719078063965,6
6,58.81937847286463,0.8439836945364967,0.3378629858561424,0.03007518796992481,0.000393066718439634,1727748675,,False,7,ebbab88a,2024-10-01_02-11-15,0.2974891662597656,3.444261074066162,18914,53f2743d91cf,172.17.0.2,3.444261074066162,7
7,58.657443068921566,0.8442051592169251,0.3395172888272558,0.039603960396039604,0.000393066718439634,1727748675,,False,8,ebbab88a,2024-10-01_02-11-15,0.3302299976348877,3.77449107170105,18914,53f2743d91cf,172.17.0.2,3.77449107170105,8
8,58.426421739161015,0.8443790949476727,0.33813716681768125,0.034912718204488775,0.000393066718439634,1727748676,,False,9,ebbab88a,2024-10-01_02-11-16,0.2604072093963623,4.034898281097412,18914,53f2743d91cf,172.17.0.2,4.034898281097412,9
9,58.401436395943165,0.8443790949476727,0.3400377794273256,0.04914004914004914,8.779659351391862e-05,1727748676,,False,10,ebbab88a,2024-10-01_02-11-16,0.26866745948791504,4.303565740585327,18914,53f2743d91cf,172.17.0.2,4.303565740585327,10
10,58.08084509521723,0.8445257268137099,0.3404130451125976,0.049019607843137254,8.779659351391862e-05,1727748676,,False,11,ebbab88a,2024-10-01_02-11-16,0.3340950012207031,4.63766074180603,18914,53f2743d91cf,172.17.0.2,4.63766074180603,11
11,57.895577289164066,0.8445328055934496,0.3401447575634864,0.04433497536945813,8.779659351391862e-05,1727748677,,False,12,ebbab88a,2024-10-01_02-11-17,0.4087557792663574,5.046416521072388,18914,53f2743d91cf,172.17.0.2,5.046416521072388,12
12,57.93062371760607,0.8446207847130717,0.34047585828099564,0.049019607843137254,8.779659351391862e-05,1727748677,,False,13,ebbab88a,2024-10-01_02-11-17,0.2952911853790283,5.341707706451416,18914,53f2743d91cf,172.17.0.2,5.341707706451416,13
13,57.867309391498566,0.8447451689856412,0.3408695292702636,0.04878048780487805,8.779659351391862e-05,1727748677,,False,14,ebbab88a,2024-10-01_02-11-17,0.3034210205078125,5.6451287269592285,18914,53f2743d91cf,172.17.0.2,5.6451287269592285,14
14,57.843774139881134,0.8447825853928369,0.34097029614014,0.04854368932038835,1.961051768322651e-05,1727748678,,False,15,ebbab88a,2024-10-01_02-11-18,0.2665140628814697,5.911642789840698,18914,53f2743d91cf,172.17.0.2,5.911642789840698,15
15,57.79398312419653,0.8447684278333574,0.3409117388893171,0.04854368932038835,1.961051768322651e-05,1727748678,,True,16,ebbab88a,2024-10-01_02-11-18,0.25672268867492676,6.168365478515625,18914,53f2743d91cf,172.17.0.2,6.168365478515625,16
