epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,70.17488502711058,0.8435852600100423,0.349670183758513,0.0,0.0018094927587609458,1727748622,,False,1,ed86e342,2024-10-01_02-10-22,0.9204323291778564,0.9204323291778564,17755,53f2743d91cf,172.17.0.2,0.9204323291778564,1
1,60.43918291479349,0.8424996694219462,0.3540697087523778,0.0,0.0018094927587609458,1727748622,,False,2,ed86e342,2024-10-01_02-10-22,0.30405521392822266,1.224487543106079,17755,53f2743d91cf,172.17.0.2,1.224487543106079,2
2,59.59620154649019,0.8473288830900311,0.3693813630642246,0.0,0.0018094927587609458,1727748622,,False,3,ed86e342,2024-10-01_02-10-22,0.2949669361114502,1.5194544792175293,17755,53f2743d91cf,172.17.0.2,1.5194544792175293,3
3,58.591954953968525,0.8443518312174797,0.36941143579588726,0.0,0.0018094927587609458,1727748623,,False,4,ed86e342,2024-10-01_02-10-23,0.29125499725341797,1.8107094764709473,17755,53f2743d91cf,172.17.0.2,1.8107094764709473,4
4,57.33354055136442,0.8469872087098762,0.375173443334069,0.0,0.0003637693023582992,1727748623,,False,5,ed86e342,2024-10-01_02-10-23,0.2983253002166748,2.109034776687622,17755,53f2743d91cf,172.17.0.2,2.109034776687622,5
5,55.07123063504696,0.8460005603644772,0.38038228064609647,0.0784313725490196,0.0003637693023582992,1727748623,,False,6,ed86e342,2024-10-01_02-10-23,0.29859256744384766,2.4076273441314697,17755,53f2743d91cf,172.17.0.2,2.4076273441314697,6
6,54.40776963531971,0.8449075722255254,0.3800714639200167,0.1016260162601626,0.0003637693023582992,1727748623,,False,7,ed86e342,2024-10-01_02-10-23,0.3072378635406494,2.714865207672119,17755,53f2743d91cf,172.17.0.2,2.714865207672119,7
7,54.11883854866028,0.8441391516303739,0.37853720141413844,0.19748653500897667,0.0003637693023582992,1727748624,,False,8,ed86e342,2024-10-01_02-10-24,0.31398749351501465,3.028852701187134,17755,53f2743d91cf,172.17.0.2,3.028852701187134,8
8,53.54576913267374,0.8438053371480037,0.3791551407734353,0.1760299625468165,0.0003637693023582992,1727748624,,False,9,ed86e342,2024-10-01_02-10-24,0.31630897521972656,3.3451616764068604,17755,53f2743d91cf,172.17.0.2,3.3451616764068604,9
9,52.999767154455185,0.8436573861308868,0.37817922229972756,0.18047882136279927,7.312994467513408e-05,1727748624,,False,10,ed86e342,2024-10-01_02-10-24,0.31082963943481445,3.655991315841675,17755,53f2743d91cf,172.17.0.2,3.655991315841675,10
10,52.17936501652002,0.8434650498086346,0.3781370239306407,0.1871559633027523,7.312994467513408e-05,1727748625,,False,11,ed86e342,2024-10-01_02-10-25,0.29320406913757324,3.949195384979248,17755,53f2743d91cf,172.17.0.2,3.949195384979248,11
11,52.026491805911064,0.8430850006334152,0.37563249480023037,0.2127659574468085,7.312994467513408e-05,1727748625,,False,12,ed86e342,2024-10-01_02-10-25,0.3094925880432129,4.258687973022461,17755,53f2743d91cf,172.17.0.2,4.258687973022461,12
12,51.90135372430086,0.8427733788036127,0.37512418009318277,0.20357142857142857,7.312994467513408e-05,1727748625,,False,13,ed86e342,2024-10-01_02-10-25,0.302736759185791,4.561424732208252,17755,53f2743d91cf,172.17.0.2,4.561424732208252,13
13,51.81930190324783,0.8426614908469179,0.37497370777646466,0.21554770318021202,7.312994467513408e-05,1727748626,,False,14,ed86e342,2024-10-01_02-10-26,0.3147871494293213,4.876211881637573,17755,53f2743d91cf,172.17.0.2,4.876211881637573,14
14,51.715141251683235,0.8424802508509495,0.374566376925357,0.22066549912434325,1.4701594591730014e-05,1727748626,,False,15,ed86e342,2024-10-01_02-10-26,0.38054633140563965,5.256758213043213,17755,53f2743d91cf,172.17.0.2,5.256758213043213,15
15,51.47919371724129,0.8424765520755215,0.37494458861874863,0.21516754850088182,1.4701594591730014e-05,1727748626,,True,16,ed86e342,2024-10-01_02-10-26,0.3061385154724121,5.562896728515625,17755,53f2743d91cf,172.17.0.2,5.562896728515625,16
