epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2156.484013651707,0.8519937725994376,0.36225356128018765,0.0,0.0018583076864759239,1727748943,,False,1,eea86100,2024-10-01_02-15-43,6.650808572769165,6.650808572769165,22133,53f2743d91cf,172.17.0.2,6.650808572769165,1
1,2045.3218040580384,0.847317195660908,0.34262337394064574,0.0,0.0018583076864759239,1727748950,,False,2,eea86100,2024-10-01_02-15-50,6.674813985824585,13.32562255859375,22133,53f2743d91cf,172.17.0.2,13.32562255859375,2
2,2027.097606539937,0.8497805343511451,0.34682276268239853,0.0,0.0004004934215266443,1727748957,,False,3,eea86100,2024-10-01_02-15-57,6.715880393981934,20.041502952575684,22133,53f2743d91cf,172.17.0.2,20.041502952575684,3
3,1960.9142126744105,0.8526546805946162,0.35221185760404145,0.0,0.0004004934215266443,1727748963,,False,4,eea86100,2024-10-01_02-16-03,5.771048307418823,25.812551259994507,22133,53f2743d91cf,172.17.0.2,25.812551259994507,4
4,1946.978820539693,0.8523633989554038,0.35276278555037605,0.0,0.0004004934215266443,1727748968,,False,5,eea86100,2024-10-01_02-16-08,5.552830934524536,31.365382194519043,22133,53f2743d91cf,172.17.0.2,31.365382194519043,5
5,1941.5972939633364,0.8530885897950984,0.35504931249672445,0.0,8.631239156648479e-05,1727748974,,False,6,eea86100,2024-10-01_02-16-14,5.583279848098755,36.9486620426178,22133,53f2743d91cf,172.17.0.2,36.9486620426178,6
6,1915.2249103780168,0.8530152671755725,0.3553289292196591,0.0,8.631239156648479e-05,1727748979,,False,7,eea86100,2024-10-01_02-16-19,5.708081007003784,42.65674304962158,22133,53f2743d91cf,172.17.0.2,42.65674304962158,7
7,1911.2514959628581,0.8529961832061069,0.3554086242521958,0.0,8.631239156648479e-05,1727748985,,False,8,eea86100,2024-10-01_02-16-25,5.944817304611206,48.60156035423279,22133,53f2743d91cf,172.17.0.2,48.60156035423279,8
8,1903.4630543790454,0.8528254319003616,0.3547512484477846,0.0,1.860162623777471e-05,1727748992,,False,9,eea86100,2024-10-01_02-16-32,6.233155965805054,54.83471632003784,22133,53f2743d91cf,172.17.0.2,54.83471632003784,9
9,1902.4623057303995,0.8528766572920852,0.35491505882729074,0.0,1.860162623777471e-05,1727748998,,False,10,eea86100,2024-10-01_02-16-38,6.298069715499878,61.13278603553772,22133,53f2743d91cf,172.17.0.2,61.13278603553772,10
10,1896.3478672896108,0.8528369827239857,0.35477690395119643,0.0,1.860162623777471e-05,1727749004,,False,11,eea86100,2024-10-01_02-16-44,6.354766845703125,67.48755288124084,22133,53f2743d91cf,172.17.0.2,67.48755288124084,11
11,1897.184611841251,0.852747087183608,0.3543768174041073,0.0,4.008931885792269e-06,1727749011,,False,12,eea86100,2024-10-01_02-16-51,6.3251636028289795,73.81271648406982,22133,53f2743d91cf,172.17.0.2,73.81271648406982,12
12,1899.899895253894,0.8527561269586179,0.3543741521805588,0.0,4.008931885792269e-06,1727749017,,False,13,eea86100,2024-10-01_02-16-57,6.175250768661499,79.98796725273132,22133,53f2743d91cf,172.17.0.2,79.98796725273132,13
13,1900.3700817863098,0.8527531137002813,0.35432339724850387,0.0,4.008931885792269e-06,1727749023,,False,14,eea86100,2024-10-01_02-17-03,6.170546054840088,86.15851330757141,22133,53f2743d91cf,172.17.0.2,86.15851330757141,14
14,1896.5548877021583,0.8527671755725191,0.3544122491288215,0.0,8.639854741455431e-07,1727749029,,False,15,eea86100,2024-10-01_02-17-09,6.240076541900635,92.39858984947205,22133,53f2743d91cf,172.17.0.2,92.39858984947205,15
15,1899.9643014815151,0.8527621534752913,0.35439669724813283,0.0,8.639854741455431e-07,1727749036,,True,16,eea86100,2024-10-01_02-17-16,6.335843086242676,98.73443293571472,22133,53f2743d91cf,172.17.0.2,98.73443293571472,16
