epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,61.81352251768112,0.5059817307692308,0.14873233624718943,0.0,0.0004060096391192592,1727748762,,False,1,f155b3ec,2024-10-01_02-12-42,0.8455312252044678,0.8455312252044678,20412,53f2743d91cf,172.17.0.2,0.8455312252044678,1
1,42.46149139106274,0.7486307692307693,0.2672535210073401,0.0,0.0004060096391192592,1727748762,,False,2,f155b3ec,2024-10-01_02-12-42,0.2207326889038086,1.0662639141082764,20412,53f2743d91cf,172.17.0.2,1.0662639141082764,2
2,37.832937493920326,0.8021201923076922,0.30174295371214915,0.0,0.0004060096391192592,1727748762,,False,3,f155b3ec,2024-10-01_02-12-42,0.16034674644470215,1.2266106605529785,20412,53f2743d91cf,172.17.0.2,1.2266106605529785,3
3,35.00676481425762,0.8176778846153846,0.3123829609351335,0.0,0.0004060096391192592,1727748763,,False,4,f155b3ec,2024-10-01_02-12-43,0.16162943840026855,1.388240098953247,20412,53f2743d91cf,172.17.0.2,1.388240098953247,4
4,33.29939468204975,0.8254336538461539,0.31813784251546284,0.0,0.0004060096391192592,1727748763,,False,5,f155b3ec,2024-10-01_02-12-43,0.1579573154449463,1.5461974143981934,20412,53f2743d91cf,172.17.0.2,1.5461974143981934,5
5,32.464871898293495,0.8314538461538462,0.32206921406214756,0.0,0.0004060096391192592,1727748763,,False,6,f155b3ec,2024-10-01_02-12-43,0.1621534824371338,1.7083508968353271,20412,53f2743d91cf,172.17.0.2,1.7083508968353271,6
6,31.690071910619736,0.8364057692307691,0.327205607939931,0.0,0.0004060096391192592,1727748763,,False,7,f155b3ec,2024-10-01_02-12-43,0.15906023979187012,1.8674111366271973,20412,53f2743d91cf,172.17.0.2,1.8674111366271973,7
7,31.448875233531,0.8403201923076923,0.33420168007003753,0.0,0.0004060096391192592,1727748763,,False,8,f155b3ec,2024-10-01_02-12-43,0.16438698768615723,2.0317981243133545,20412,53f2743d91cf,172.17.0.2,2.0317981243133545,8
8,31.035191237926483,0.8419442307692308,0.33782694902036825,0.0,0.0004060096391192592,1727748763,,False,9,f155b3ec,2024-10-01_02-12-43,0.16564702987670898,2.1974451541900635,20412,53f2743d91cf,172.17.0.2,2.1974451541900635,9
9,30.72691097855568,0.8439307692307694,0.3421407774246392,0.004889975550122249,0.00013943002143678386,1727748764,,False,10,f155b3ec,2024-10-01_02-12-44,0.16617083549499512,2.3636159896850586,20412,53f2743d91cf,172.17.0.2,2.3636159896850586,10
10,30.602995462715626,0.8440875000000001,0.34291221518938,0.004914004914004914,0.00013943002143678386,1727748764,,False,11,f155b3ec,2024-10-01_02-12-44,0.1715564727783203,2.535172462463379,20412,53f2743d91cf,172.17.0.2,2.535172462463379,11
11,30.54085846245289,0.8443211538461539,0.3436113512756679,0.004889975550122249,0.00013943002143678386,1727748764,,False,12,f155b3ec,2024-10-01_02-12-44,0.1650073528289795,2.7001798152923584,20412,53f2743d91cf,172.17.0.2,2.7001798152923584,12
12,30.487774595618248,0.8443903846153845,0.34367706681414334,0.004901960784313725,0.00013943002143678386,1727748764,,False,13,f155b3ec,2024-10-01_02-12-44,0.1710829734802246,2.871262788772583,20412,53f2743d91cf,172.17.0.2,2.871262788772583,13
13,30.494004294276237,0.844914423076923,0.3453167911748956,0.004878048780487805,0.00013943002143678386,1727748764,,False,14,f155b3ec,2024-10-01_02-12-44,0.16243958473205566,3.0337023735046387,20412,53f2743d91cf,172.17.0.2,3.0337023735046387,14
14,30.367249459028244,0.8449625000000001,0.34542270253679513,0.0048543689320388345,0.00013943002143678386,1727748764,,False,15,f155b3ec,2024-10-01_02-12-44,0.17006921768188477,3.2037715911865234,20412,53f2743d91cf,172.17.0.2,3.2037715911865234,15
15,30.175062969326973,0.8449365384615384,0.34540515417357637,0.004889975550122249,0.00013943002143678386,1727748765,,True,16,f155b3ec,2024-10-01_02-12-45,0.26131105422973633,3.4650826454162598,20412,53f2743d91cf,172.17.0.2,3.4650826454162598,16
