epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,507.0167621351884,0.8455182830912119,0.3800480111726425,0.0,0.0019551692871045993,1727748262,,False,1,f3a8007d,2024-10-01_02-04-22,2.5704903602600098,2.5704903602600098,13816,53f2743d91cf,172.17.0.2,2.5704903602600098,1
1,484.5448576276249,0.8418050897630828,0.38379499054519833,0.0,0.0019551692871045993,1727748264,,False,2,f3a8007d,2024-10-01_02-04-24,2.083876848220825,4.654367208480835,13816,53f2743d91cf,172.17.0.2,4.654367208480835,2
2,475.37732333696476,0.8466697311504779,0.3908593350271256,0.0,0.0019551692871045993,1727748266,,False,3,f3a8007d,2024-10-01_02-04-26,2.093388557434082,6.747755765914917,13816,53f2743d91cf,172.17.0.2,6.747755765914917,3
3,468.15086377271655,0.8461021669889814,0.37841830498658463,0.0,0.0019551692871045993,1727748268,,False,4,f3a8007d,2024-10-01_02-04-28,1.8464393615722656,8.594195127487183,13816,53f2743d91cf,172.17.0.2,8.594195127487183,4
4,461.63339360754844,0.8445853381676018,0.3764227930133751,0.0,0.0009273866068272289,1727748270,,False,5,f3a8007d,2024-10-01_02-04-30,1.9341413974761963,10.528336524963379,13816,53f2743d91cf,172.17.0.2,10.528336524963379,5
5,443.0994591191495,0.8447848016109394,0.375468491822876,0.05172413793103448,0.0009273866068272289,1727748272,,False,6,f3a8007d,2024-10-01_02-04-32,2.1852407455444336,12.713577270507812,13816,53f2743d91cf,172.17.0.2,12.713577270507812,6
6,436.08225252425444,0.8452422075525925,0.37422541039748297,0.10441767068273092,0.0009273866068272289,1727748274,,False,7,f3a8007d,2024-10-01_02-04-34,1.86454439163208,14.578121662139893,13816,53f2743d91cf,172.17.0.2,14.578121662139893,7
7,432.8292148343542,0.842043085917065,0.3670004188414319,0.03508771929824561,0.0009273866068272289,1727748276,,False,8,f3a8007d,2024-10-01_02-04-36,2.153956174850464,16.732077836990356,13816,53f2743d91cf,172.17.0.2,16.732077836990356,8
8,426.1560439165197,0.8415462406127516,0.3678880583043946,0.150093808630394,0.0009273866068272289,1727748279,,False,9,f3a8007d,2024-10-01_02-04-39,2.4157040119171143,19.14778184890747,13816,53f2743d91cf,172.17.0.2,19.14778184890747,9
9,421.2420963908236,0.8406767613302035,0.36027419617746503,0.1693121693121693,0.0004398830956454717,1727748281,,False,10,f3a8007d,2024-10-01_02-04-41,2.12658429145813,21.2743661403656,13816,53f2743d91cf,172.17.0.2,21.2743661403656,10
10,407.71689039935234,0.8409641700190124,0.3649607374970877,0.18312387791741472,0.0004398830956454717,1727748282,,False,11,f3a8007d,2024-10-01_02-04-42,1.7021431922912598,22.97650933265686,13816,53f2743d91cf,172.17.0.2,22.97650933265686,11
11,402.197358423394,0.8402669546193468,0.36085167788195427,0.20205479452054795,0.0004398830956454717,1727748284,,False,12,f3a8007d,2024-10-01_02-04-44,1.721827745437622,24.698337078094482,13816,53f2743d91cf,172.17.0.2,24.698337078094482,12
12,397.8855909970576,0.8393213165675243,0.3621107587300164,0.19014084507042253,0.0004398830956454717,1727748286,,False,13,f3a8007d,2024-10-01_02-04-46,1.5532200336456299,26.251557111740112,13816,53f2743d91cf,172.17.0.2,26.251557111740112,13
13,392.3894661496117,0.8380991496510749,0.3587194356319964,0.21512605042016808,0.0004398830956454717,1727748287,,False,14,f3a8007d,2024-10-01_02-04-47,1.563758373260498,27.81531548500061,13816,53f2743d91cf,172.17.0.2,27.81531548500061,14
14,387.7047749141817,0.8378924329916162,0.3569542439478973,0.1853146853146853,0.0002086477596400004,1727748289,,False,15,f3a8007d,2024-10-01_02-04-49,1.55712890625,29.37244439125061,13816,53f2743d91cf,172.17.0.2,29.37244439125061,15
15,377.91765127110415,0.8363855773424035,0.35524126057885796,0.214168039538715,0.0002086477596400004,1727748290,,True,16,f3a8007d,2024-10-01_02-04-50,1.5555028915405273,30.927947282791138,13816,53f2743d91cf,172.17.0.2,30.927947282791138,16
