epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,79.99055850505829,0.3670532211218779,0.097679446235584,0.23581299617759482,1.0716599256765759e-06,1727747925,,False,1,f721f8d9,2024-10-01_01-58-45,0.8820114135742188,0.8820114135742188,7627,53f2743d91cf,172.17.0.2,0.8820114135742188,1
1,79.97436791658401,0.3691607840729074,0.09804357115573122,0.23581299617759482,1.0716599256765759e-06,1727747925,,False,2,f721f8d9,2024-10-01_01-58-45,0.2147214412689209,1.0967328548431396,7627,53f2743d91cf,172.17.0.2,1.0967328548431396,2
2,79.94180643558502,0.37142378758759126,0.0984495372732087,0.23581299617759482,1.0716599256765759e-06,1727747925,,False,3,f721f8d9,2024-10-01_01-58-45,0.21514177322387695,1.3118746280670166,7627,53f2743d91cf,172.17.0.2,1.3118746280670166,3
3,79.86256748437881,0.37380001324123313,0.09887121933819233,0.23581299617759482,1.0716599256765759e-06,1727747926,,False,4,f721f8d9,2024-10-01_01-58-46,0.21572184562683105,1.5275964736938477,7627,53f2743d91cf,172.17.0.2,1.5275964736938477,4
4,79.79807949066162,0.37633407823265996,0.09931807625702002,0.23581299617759482,2.150182149636353e-07,1727747926,,False,5,f721f8d9,2024-10-01_01-58-46,0.21406173706054688,1.7416582107543945,7627,53f2743d91cf,172.17.0.2,1.7416582107543945,5
5,79.82346814870834,0.3768296649680147,0.09940743177180873,0.23581299617759482,2.150182149636353e-07,1727747926,,False,6,f721f8d9,2024-10-01_01-58-46,0.2046194076538086,1.9462776184082031,7627,53f2743d91cf,172.17.0.2,1.9462776184082031,6
6,79.73942041397095,0.37729694616862997,0.09949439660284334,0.23581299617759482,2.150182149636353e-07,1727747926,,False,7,f721f8d9,2024-10-01_01-58-46,0.20421838760375977,2.150496006011963,7627,53f2743d91cf,172.17.0.2,2.150496006011963,7
7,79.70264315605164,0.3777810187881585,0.09958731506410834,0.23581299617759482,2.150182149636353e-07,1727747927,,False,8,f721f8d9,2024-10-01_01-58-47,0.20668959617614746,2.3571856021881104,7627,53f2743d91cf,172.17.0.2,2.3571856021881104,8
8,79.75202018022537,0.3782919576779482,0.09968176239204961,0.23581299617759482,2.150182149636353e-07,1727747929,,False,9,f721f8d9,2024-10-01_01-58-49,0.22029805183410645,2.577483654022217,7627,53f2743d91cf,172.17.0.2,2.577483654022217,9
9,79.73271399736404,0.3788124916642599,0.09977698225358675,0.23581299617759482,4.314132838079179e-08,1727747929,,False,10,f721f8d9,2024-10-01_01-58-49,0.21205592155456543,2.7895395755767822,7627,53f2743d91cf,172.17.0.2,2.7895395755767822,10
10,79.68030565977097,0.37889069170091316,0.09979543623424394,0.23581299617759482,4.314132838079179e-08,1727747929,,False,11,f721f8d9,2024-10-01_01-58-49,0.2082052230834961,2.9977447986602783,7627,53f2743d91cf,172.17.0.2,2.9977447986602783,11
11,79.71599423885345,0.37898040585339265,0.09981212480639351,0.23581299617759482,4.314132838079179e-08,1727747930,,False,12,f721f8d9,2024-10-01_01-58-50,0.21769213676452637,3.2154369354248047,7627,53f2743d91cf,172.17.0.2,3.2154369354248047,12
12,79.6805853843689,0.3790902697085682,0.09983096468957547,0.23581299617759482,4.314132838079179e-08,1727747930,,False,13,f721f8d9,2024-10-01_01-58-50,0.21527624130249023,3.430713176727295,7627,53f2743d91cf,172.17.0.2,3.430713176727295,13
13,79.73321837186813,0.3791785445965694,0.0998426091629546,0.23581299617759482,4.314132838079179e-08,1727747930,,False,14,f721f8d9,2024-10-01_01-58-50,0.22224211692810059,3.6529552936553955,7627,53f2743d91cf,172.17.0.2,3.6529552936553955,14
14,79.7119967341423,0.3792557851235705,0.0998679963916863,0.23581299617759482,8.65589091963246e-09,1727747930,,False,15,f721f8d9,2024-10-01_01-58-50,0.2222442626953125,3.875199556350708,7627,53f2743d91cf,172.17.0.2,3.875199556350708,15
15,79.66568171977997,0.3792720967876576,0.09986742431947866,0.23581299617759482,8.65589091963246e-09,1727747931,,False,16,f721f8d9,2024-10-01_01-58-51,0.22005534172058105,4.095254898071289,7627,53f2743d91cf,172.17.0.2,4.095254898071289,16
16,79.73283356428146,0.3792903274710492,0.0998739833210488,0.23581299617759482,8.65589091963246e-09,1727747931,,False,17,f721f8d9,2024-10-01_01-58-51,0.2667098045349121,4.361964702606201,7627,53f2743d91cf,172.17.0.2,4.361964702606201,17
17,79.64743518829346,0.37930903790926684,0.09987017901151918,0.23581299617759482,8.65589091963246e-09,1727747931,,False,18,f721f8d9,2024-10-01_01-58-51,0.22888517379760742,4.590849876403809,7627,53f2743d91cf,172.17.0.2,4.590849876403809,18
18,79.70433700084686,0.37932055202509307,0.09987617005215549,0.23581299617759482,8.65589091963246e-09,1727747931,,False,19,f721f8d9,2024-10-01_01-58-51,0.222930908203125,4.813780784606934,7627,53f2743d91cf,172.17.0.2,4.813780784606934,19
19,79.69633376598358,0.3793373434440064,0.09988724110297258,0.23581299617759482,1.736720922249927e-09,1727747931,,False,20,f721f8d9,2024-10-01_01-58-51,0.2308962345123291,5.044677019119263,7627,53f2743d91cf,172.17.0.2,5.044677019119263,20
