epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,71.8031727746129,0.8440106420669893,0.37001952560471063,0.0,0.0017844875277233886,1727748667,,False,1,f88f902b,2024-10-01_02-11-07,1.1157753467559814,1.1157753467559814,18786,53f2743d91cf,172.17.0.2,1.1157753467559814,1
1,61.37313773483038,0.8447610562749571,0.3689640123682897,0.0,0.0017844875277233886,1727748667,,False,2,f88f902b,2024-10-01_02-11-07,0.29666900634765625,1.4124443531036377,18786,53f2743d91cf,172.17.0.2,1.4124443531036377,2
2,60.02935824543238,0.8490525609470725,0.37894629246421785,0.0,0.0017844875277233886,1727748668,,False,3,f88f902b,2024-10-01_02-11-08,0.3850266933441162,1.797471046447754,18786,53f2743d91cf,172.17.0.2,1.797471046447754,3
3,59.56934239715338,0.8483599431997061,0.37895301478928073,0.004830917874396135,0.0017844875277233886,1727748668,,False,4,f88f902b,2024-10-01_02-11-08,0.40474843978881836,2.2022194862365723,18786,53f2743d91cf,172.17.0.2,2.2022194862365723,4
4,58.80580408126116,0.8502564189313011,0.3853928867172312,0.004807692307692308,0.0003857601430211257,1727748669,,False,5,f88f902b,2024-10-01_02-11-09,0.29514312744140625,2.4973626136779785,18786,53f2743d91cf,172.17.0.2,2.4973626136779785,5
5,57.38535500317812,0.8517995374403592,0.3918410328258108,0.03278688524590164,0.0003857601430211257,1727748669,,False,6,f88f902b,2024-10-01_02-11-09,0.3129441738128662,2.8103067874908447,18786,53f2743d91cf,172.17.0.2,2.8103067874908447,6
6,57.047584012150764,0.8519254679398804,0.39378995239271664,0.04597701149425287,0.0003857601430211257,1727748669,,False,7,f88f902b,2024-10-01_02-11-09,0.32394957542419434,3.134256362915039,18786,53f2743d91cf,172.17.0.2,3.134256362915039,7
7,56.824650183320045,0.8517751031643327,0.39305266980998865,0.07191011235955057,0.0003857601430211257,1727748670,,False,8,f88f902b,2024-10-01_02-11-10,0.4536454677581787,3.5879018306732178,18786,53f2743d91cf,172.17.0.2,3.5879018306732178,8
8,56.557222083210945,0.8528746455855251,0.3969067565160534,0.09312638580931264,0.0003857601430211257,1727748670,,False,9,f88f902b,2024-10-01_02-11-10,0.3816676139831543,3.969569444656372,18786,53f2743d91cf,172.17.0.2,3.969569444656372,9
9,56.33676850795746,0.8516115814709246,0.39415474916411597,0.13807531380753138,8.339138583587028e-05,1727748670,,False,10,f88f902b,2024-10-01_02-11-10,0.396867036819458,4.36643648147583,18786,53f2743d91cf,172.17.0.2,4.36643648147583,10
10,55.98112718760967,0.8521632322412153,0.3945451160768939,0.08791208791208792,8.339138583587028e-05,1727748671,,False,11,f88f902b,2024-10-01_02-11-11,0.341174840927124,4.707611322402954,18786,53f2743d91cf,172.17.0.2,4.707611322402954,11
11,55.828262865543365,0.8522572102259325,0.3947604156569693,0.08370044052863436,8.339138583587028e-05,1727748671,,False,12,f88f902b,2024-10-01_02-11-11,0.32854628562927246,5.036157608032227,18786,53f2743d91cf,172.17.0.2,5.036157608032227,12
12,55.73110491782427,0.8522196190320456,0.3945597357730455,0.08791208791208792,8.339138583587028e-05,1727748671,,False,13,f88f902b,2024-10-01_02-11-11,0.32872986793518066,5.364887475967407,18786,53f2743d91cf,172.17.0.2,5.364887475967407,13
13,55.606035977602005,0.8520448199804712,0.39420364981123435,0.10869565217391304,8.339138583587028e-05,1727748672,,False,14,f88f902b,2024-10-01_02-11-12,0.458636999130249,5.823524475097656,18786,53f2743d91cf,172.17.0.2,5.823524475097656,14
14,55.566336795687675,0.8521923654164776,0.3943429452698365,0.09230769230769231,1.8027065152882193e-05,1727748672,,False,15,f88f902b,2024-10-01_02-11-12,0.4904184341430664,6.313942909240723,18786,53f2743d91cf,172.17.0.2,6.313942909240723,15
15,55.478161834180355,0.8521707504799927,0.39430295521054287,0.09210526315789473,1.8027065152882193e-05,1727748673,,True,16,f88f902b,2024-10-01_02-11-13,0.49112486839294434,6.805067777633667,18786,53f2743d91cf,172.17.0.2,6.805067777633667,16
