epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,69.2348054908216,0.8487209684487292,0.382264516953836,0.0,0.0018146695182117947,1727748665,,False,1,f905f831,2024-10-01_02-11-05,1.2902536392211914,1.2902536392211914,18721,53f2743d91cf,172.17.0.2,1.2902536392211914,1
1,61.950092904269695,0.8499818063728558,0.3755637425021705,0.0,0.0018146695182117947,1727748665,,False,2,f905f831,2024-10-01_02-11-05,0.4743525981903076,1.764606237411499,18721,53f2743d91cf,172.17.0.2,1.764606237411499,2
2,60.70284116268158,0.8454744819707023,0.3762564013433264,0.0,0.0018146695182117947,1727748666,,False,3,f905f831,2024-10-01_02-11-06,0.46778035163879395,2.232386589050293,18721,53f2743d91cf,172.17.0.2,2.232386589050293,3
3,59.58148290216923,0.8479110585952173,0.3688407003670047,0.0,0.0018146695182117947,1727748666,,False,4,f905f831,2024-10-01_02-11-06,0.45726513862609863,2.6896517276763916,18721,53f2743d91cf,172.17.0.2,2.6896517276763916,4
4,59.10206712782383,0.8468125939025918,0.37599056802829367,0.0,0.0004062664521827981,1727748667,,False,5,f905f831,2024-10-01_02-11-07,0.5345234870910645,3.224175214767456,18721,53f2743d91cf,172.17.0.2,3.224175214767456,5
5,55.861650474369526,0.8472918883811194,0.3801353771388724,0.0,0.0004062664521827981,1727748667,,False,6,f905f831,2024-10-01_02-11-07,0.5064740180969238,3.73064923286438,18721,53f2743d91cf,172.17.0.2,3.73064923286438,6
6,55.24243055284023,0.8481438587705019,0.38053527527197695,0.21333333333333335,0.0004062664521827981,1727748668,,False,7,f905f831,2024-10-01_02-11-08,0.49190449714660645,4.222553730010986,18721,53f2743d91cf,172.17.0.2,4.222553730010986,7
7,54.59563817828894,0.846534798735445,0.3775658887851243,0.23161764705882354,0.0004062664521827981,1727748668,,False,8,f905f831,2024-10-01_02-11-08,0.6111969947814941,4.8337507247924805,18721,53f2743d91cf,172.17.0.2,4.8337507247924805,8
8,53.553210854530334,0.8457165745899586,0.3714473806025507,0.3,0.0004062664521827981,1727748669,,False,9,f905f831,2024-10-01_02-11-09,0.4349539279937744,5.268704652786255,18721,53f2743d91cf,172.17.0.2,5.268704652786255,9
9,52.77417229115963,0.8451957086515588,0.3692577663466536,0.24372759856630824,9.095453938733879e-05,1727748669,,False,10,f905f831,2024-10-01_02-11-09,0.6112291812896729,5.879933834075928,18721,53f2743d91cf,172.17.0.2,5.879933834075928,10
10,51.335853427648544,0.8443505853261549,0.3645361034447762,0.27768595041322314,9.095453938733879e-05,1727748670,,False,11,f905f831,2024-10-01_02-11-10,0.5516808032989502,6.431614637374878,18721,53f2743d91cf,172.17.0.2,6.431614637374878,11
11,50.83042645454407,0.8441197414548641,0.36319756259248875,0.302066772655008,9.095453938733879e-05,1727748670,,False,12,f905f831,2024-10-01_02-11-10,0.5247304439544678,6.956345081329346,18721,53f2743d91cf,172.17.0.2,6.956345081329346,12
12,50.5368390083313,0.8437842353198948,0.3633084486774112,0.2733333333333333,9.095453938733879e-05,1727748671,,False,13,f905f831,2024-10-01_02-11-11,0.5795519351959229,7.5358970165252686,18721,53f2743d91cf,172.17.0.2,7.5358970165252686,13
13,50.00323384255171,0.8430173641542505,0.36129013474373567,0.2805872756933116,9.095453938733879e-05,1727748672,,False,14,f905f831,2024-10-01_02-11-12,0.6371314525604248,8.173028469085693,18721,53f2743d91cf,172.17.0.2,8.173028469085693,14
14,49.77089190483093,0.8427337000751222,0.36109380800916424,0.3011093502377179,2.0362814085965136e-05,1727748672,,False,15,f905f831,2024-10-01_02-11-12,0.5746860504150391,8.747714519500732,18721,53f2743d91cf,172.17.0.2,8.747714519500732,15
15,49.369376830756664,0.8426838143232752,0.35975249019896266,0.3037974683544304,2.0362814085965136e-05,1727748673,,False,16,f905f831,2024-10-01_02-11-13,0.5865318775177002,9.334246397018433,18721,53f2743d91cf,172.17.0.2,9.334246397018433,16
16,49.339027024805546,0.8426006714035308,0.3595388063551117,0.3033175355450237,2.0362814085965136e-05,1727748673,,False,17,f905f831,2024-10-01_02-11-13,0.5705351829528809,9.904781579971313,18721,53f2743d91cf,172.17.0.2,9.904781579971313,17
17,49.39388060942292,0.8425468730436961,0.3593786073656259,0.3037974683544304,2.0362814085965136e-05,1727748674,,False,18,f905f831,2024-10-01_02-11-14,0.49651479721069336,10.401296377182007,18721,53f2743d91cf,172.17.0.2,10.401296377182007,18
18,49.11284703761339,0.8424167788280956,0.3590657185818225,0.302066772655008,2.0362814085965136e-05,1727748674,,False,19,f905f831,2024-10-01_02-11-14,0.47826600074768066,10.879562377929688,18721,53f2743d91cf,172.17.0.2,10.879562377929688,19
19,49.04606916755438,0.8422847283085012,0.35848926140520426,0.3011093502377179,4.558807073210248e-06,1727748675,,False,20,f905f831,2024-10-01_02-11-15,0.47594380378723145,11.355506181716919,18721,53f2743d91cf,172.17.0.2,11.355506181716919,20
