epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,68.6042575314641,0.8530743189282055,0.36871895384412223,0.0,0.0015042760441959081,1727748415,,False,1,fc346df2,2024-10-01_02-06-55,1.036909580230713,1.036909580230713,14702,53f2743d91cf,172.17.0.2,1.036909580230713,1
1,61.620861917734146,0.8496558118516038,0.36365723711915804,0.0,0.0015042760441959081,1727748416,,False,2,fc346df2,2024-10-01_02-06-56,0.3760800361633301,1.412989616394043,14702,53f2743d91cf,172.17.0.2,1.412989616394043,2
2,61.18665983527899,0.8549944290995789,0.3956437867921423,0.0,0.0015042760441959081,1727748416,,False,3,fc346df2,2024-10-01_02-06-56,0.3756856918334961,1.788675308227539,14702,53f2743d91cf,172.17.0.2,1.788675308227539,3
3,59.71125080436468,0.8487052526189076,0.3684430460769035,0.0,0.0015042760441959081,1727748417,,False,4,fc346df2,2024-10-01_02-06-57,0.38594746589660645,2.1746227741241455,14702,53f2743d91cf,172.17.0.2,2.1746227741241455,4
4,58.64834139496088,0.8546769267329202,0.38063507368894456,0.0,0.00030272478825599475,1727748417,,False,5,fc346df2,2024-10-01_02-06-57,0.41596031188964844,2.590583086013794,14702,53f2743d91cf,172.17.0.2,2.590583086013794,5
5,55.62287128716707,0.8534463615787076,0.3812787505424528,0.0,0.00030272478825599475,1727748417,,False,6,fc346df2,2024-10-01_02-06-57,0.414884090423584,3.005467176437378,14702,53f2743d91cf,172.17.0.2,3.005467176437378,6
6,54.604195050895214,0.8528366791200316,0.3882269201041412,0.11009174311926606,0.00030272478825599475,1727748418,,False,7,fc346df2,2024-10-01_02-06-58,0.4216117858886719,3.42707896232605,14702,53f2743d91cf,172.17.0.2,3.42707896232605,7
7,53.53680545091629,0.851404022735507,0.3794249820667725,0.3474178403755869,0.00030272478825599475,1727748418,,False,8,fc346df2,2024-10-01_02-06-58,0.4136667251586914,3.840745687484741,14702,53f2743d91cf,172.17.0.2,3.840745687484741,8
8,52.76324865967035,0.8507436957275479,0.38634334143937077,0.2765957446808511,0.00030272478825599475,1727748419,,False,9,fc346df2,2024-10-01_02-06-59,0.41343164443969727,4.2541773319244385,14702,53f2743d91cf,172.17.0.2,4.2541773319244385,9
9,51.89518005400896,0.8474108948112711,0.37453258610686135,0.3031301482701812,6.09211971288309e-05,1727748419,,False,10,fc346df2,2024-10-01_02-06-59,0.42590975761413574,4.680087089538574,14702,53f2743d91cf,172.17.0.2,4.680087089538574,10
10,50.30454660952091,0.8475842549992014,0.37474259832149764,0.3044189852700491,6.09211971288309e-05,1727748420,,False,11,fc346df2,2024-10-01_02-07-00,0.4242403507232666,5.104327440261841,14702,53f2743d91cf,172.17.0.2,5.104327440261841,11
11,49.68254568427801,0.8474371910195526,0.3730819594999064,0.3220858895705521,6.09211971288309e-05,1727748420,,False,12,fc346df2,2024-10-01_02-07-00,0.41777968406677246,5.522107124328613,14702,53f2743d91cf,172.17.0.2,5.522107124328613,12
12,49.43184352479875,0.8466882360503484,0.3714067641770533,0.3094098883572568,6.09211971288309e-05,1727748420,,False,13,fc346df2,2024-10-01_02-07-00,0.42847657203674316,5.9505836963653564,14702,53f2743d91cf,172.17.0.2,5.9505836963653564,13
13,49.119138441979885,0.8460970583308336,0.3700088071115987,0.28903654485049834,6.09211971288309e-05,1727748421,,False,14,fc346df2,2024-10-01_02-07-01,0.4174017906188965,6.367985486984253,14702,53f2743d91cf,172.17.0.2,6.367985486984253,14
14,48.802957870066166,0.8457766341632547,0.3693215516420113,0.3037156704361874,1.2259954928010026e-05,1727748421,,False,15,fc346df2,2024-10-01_02-07-01,0.4213595390319824,6.789345026016235,14702,53f2743d91cf,172.17.0.2,6.789345026016235,15
15,48.476231805980206,0.8456402834536465,0.3684997961497408,0.31911532385466035,1.2259954928010026e-05,1727748422,,False,16,fc346df2,2024-10-01_02-07-02,0.44660520553588867,7.235950231552124,14702,53f2743d91cf,172.17.0.2,7.235950231552124,16
16,48.13197559863329,0.8455419161560009,0.3681548694416558,0.31645569620253167,1.2259954928010026e-05,1727748422,,False,17,fc346df2,2024-10-01_02-07-02,0.4220590591430664,7.65800929069519,14702,53f2743d91cf,172.17.0.2,7.65800929069519,17
17,48.13252415880561,0.8454269919864742,0.3677313527103589,0.31962025316455694,1.2259954928010026e-05,1727748423,,False,18,fc346df2,2024-10-01_02-07-03,0.4317634105682373,8.089772701263428,14702,53f2743d91cf,172.17.0.2,8.089772701263428,18
18,48.2139846496284,0.8453208332197076,0.36736838385207393,0.31911532385466035,1.2259954928010026e-05,1727748423,,False,19,fc346df2,2024-10-01_02-07-03,0.4676191806793213,8.557391881942749,14702,53f2743d91cf,172.17.0.2,8.557391881942749,19
19,48.14442487806082,0.8452185701875017,0.36673960216817497,0.3238993710691824,2.4672281885561454e-06,1727748423,,False,20,fc346df2,2024-10-01_02-07-03,0.48388195037841797,9.041273832321167,14702,53f2743d91cf,172.17.0.2,9.041273832321167,20
