epoch,loss,roc_auc,pr_auc,f1_score,learning_rate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,71.10166969150305,0.8442019810141703,0.3333673734279014,0.0,0.0018635214241244365,1727748670,,False,1,fc6fbd27,2024-10-01_02-11-10,1.403132677078247,1.403132677078247,18849,53f2743d91cf,172.17.0.2,1.403132677078247,1
1,62.399987664073706,0.8477719485850851,0.3501491712158431,0.0,0.0018635214241244365,1727748671,,False,2,fc6fbd27,2024-10-01_02-11-11,0.45314598083496094,1.856278657913208,18849,53f2743d91cf,172.17.0.2,1.856278657913208,2
2,61.31060767918825,0.8459869647996276,0.34292979701444737,0.0,0.0018635214241244365,1727748671,,False,3,fc6fbd27,2024-10-01_02-11-11,0.39304637908935547,2.2493250370025635,18849,53f2743d91cf,172.17.0.2,2.2493250370025635,3
3,60.147805869579315,0.8428568352780873,0.3313621483810753,0.0,0.0018635214241244365,1727748671,,False,4,fc6fbd27,2024-10-01_02-11-11,0.3957545757293701,2.6450796127319336,18849,53f2743d91cf,172.17.0.2,2.6450796127319336,4
4,59.4000810906291,0.8450303939370016,0.34245697509105966,0.0,0.00039929499539462075,1727748672,,False,5,fc6fbd27,2024-10-01_02-11-12,0.5227062702178955,3.167785882949829,18849,53f2743d91cf,172.17.0.2,3.167785882949829,5
5,56.87891894578934,0.8470296577977955,0.3473377989932529,0.07729468599033816,0.00039929499539462075,1727748673,,False,6,fc6fbd27,2024-10-01_02-11-13,0.569056510925293,3.736842393875122,18849,53f2743d91cf,172.17.0.2,3.736842393875122,6
6,56.19804032146931,0.8475320369217898,0.3474437268765202,0.13544018058690746,0.00039929499539462075,1727748673,,False,7,fc6fbd27,2024-10-01_02-11-13,0.43380212783813477,4.170644521713257,18849,53f2743d91cf,172.17.0.2,4.170644521713257,7
7,55.706800647079945,0.8455143183176657,0.3418072353819245,0.12669683257918551,0.00039929499539462075,1727748673,,False,8,fc6fbd27,2024-10-01_02-11-13,0.48464369773864746,4.655288219451904,18849,53f2743d91cf,172.17.0.2,4.655288219451904,8
8,54.88579989224672,0.8462432806792165,0.3436228325206783,0.17872340425531916,0.00039929499539462075,1727748674,,False,9,fc6fbd27,2024-10-01_02-11-14,0.507443904876709,5.162732124328613,18849,53f2743d91cf,172.17.0.2,5.162732124328613,9
9,54.49738623201847,0.8444962316439383,0.3368236862281601,0.21388367729831145,8.55565658023494e-05,1727748674,,False,10,fc6fbd27,2024-10-01_02-11-14,0.40937304496765137,5.572105169296265,18849,53f2743d91cf,172.17.0.2,5.572105169296265,10
10,53.389177314937115,0.8444029326637679,0.3365949600940131,0.19591836734693877,8.55565658023494e-05,1727748675,,False,11,fc6fbd27,2024-10-01_02-11-15,0.3850533962249756,5.95715856552124,18849,53f2743d91cf,172.17.0.2,5.95715856552124,11
11,52.938209652900696,0.8442245368115741,0.33625592641086854,0.18661257606490872,8.55565658023494e-05,1727748675,,False,12,fc6fbd27,2024-10-01_02-11-15,0.39890313148498535,6.356061697006226,18849,53f2743d91cf,172.17.0.2,6.356061697006226,12
12,52.660754665732384,0.8441845515343581,0.33554352329682946,0.21455938697318008,8.55565658023494e-05,1727748676,,False,13,fc6fbd27,2024-10-01_02-11-16,0.3528740406036377,6.708935737609863,18849,53f2743d91cf,172.17.0.2,6.708935737609863,13
13,52.450769156217575,0.8437949513973828,0.3343474087501315,0.1925343811394892,8.55565658023494e-05,1727748676,,False,14,fc6fbd27,2024-10-01_02-11-16,0.36961960792541504,7.078555345535278,18849,53f2743d91cf,172.17.0.2,7.078555345535278,14
14,52.28515337407589,0.8432976985909804,0.33275056700127587,0.19455252918287938,1.833212546192197e-05,1727748676,,False,15,fc6fbd27,2024-10-01_02-11-16,0.37282443046569824,7.451379776000977,18849,53f2743d91cf,172.17.0.2,7.451379776000977,15
15,52.0422283411026,0.8433499870304165,0.3327188009061814,0.20155038759689922,1.833212546192197e-05,1727748677,,True,16,fc6fbd27,2024-10-01_02-11-17,0.3771629333496094,7.828542709350586,18849,53f2743d91cf,172.17.0.2,7.828542709350586,16
